img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	7.15806	water_snake	sandbar	3.00000	wide_resnet50_2	resnet18
ILSVRC2012_val_00000003.png	Shetland_sheepdog	10.62864	Shetland_sheepdog	barrow	2.89434	wide_resnet50_2	resnet18
ILSVRC2012_val_00000006.png	garter_snake	4.87799	water_snake	maze	2.90070	wide_resnet50_2	resnet18
ILSVRC2012_val_00000007.png	porcupine	2.75795	porcupine	wool	2.88186	wide_resnet50_2	resnet18
ILSVRC2012_val_00000010.png	Angora	-7.80912	toy_poodle	wig	2.99816	wide_resnet50_2	resnet18
ILSVRC2012_val_00000011.png	brain_coral	8.44797	brain_coral	coral_reef	2.99997	wide_resnet50_2	resnet18
ILSVRC2012_val_00000012.png	cougar	15.80682	cougar	window_screen	2.90215	wide_resnet50_2	resnet18
ILSVRC2012_val_00000013.png	guenon	17.91499	guenon	wig	2.89995	wide_resnet50_2	resnet18
ILSVRC2012_val_00000016.png	grey_whale	9.67220	grey_whale	promontory	2.96739	wide_resnet50_2	resnet18
ILSVRC2012_val_00000017.png	sea_anemone	0.51622	sea_anemone	torch	2.87884	wide_resnet50_2	resnet18
ILSVRC2012_val_00000018.png	vulture	7.98681	kite	flagpole	2.91052	wide_resnet50_2	resnet18
ILSVRC2012_val_00000021.png	porcupine	15.96001	porcupine	spider_web	2.88484	wide_resnet50_2	resnet18
ILSVRC2012_val_00000022.png	Ibizan_hound	2.21442	American_Staffordshire_terrier	stretcher	2.94936	wide_resnet50_2	resnet18
ILSVRC2012_val_00000025.png	vulture	8.17975	vulture	plow	2.93367	wide_resnet50_2	resnet18
ILSVRC2012_val_00000027.png	white_wolf	11.92872	white_wolf	dogsled	2.96087	wide_resnet50_2	resnet18
ILSVRC2012_val_00000028.png	English_foxhound	5.55117	beagle	bath_towel	2.89315	wide_resnet50_2	resnet18
