img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-5.74840	sea_snake	chain	9.95932	resnet18	resnet50
ILSVRC2012_val_00000003.png	Shetland_sheepdog	0.73974	Shetland_sheepdog	soccer_ball	9.96172	resnet18	resnet50
ILSVRC2012_val_00000006.png	garter_snake	-3.96069	water_snake	maze	9.96373	resnet18	resnet50
ILSVRC2012_val_00000007.png	porcupine	-1.52484	porcupine	hay	9.99292	resnet18	resnet50
ILSVRC2012_val_00000010.png	Angora	-5.90932	Angora	wig	9.98802	resnet18	resnet50
ILSVRC2012_val_00000011.png	brain_coral	3.45331	brain_coral	coral_reef	9.99999	resnet18	resnet50
ILSVRC2012_val_00000012.png	cougar	13.65643	cougar	window_screen	9.96585	resnet18	resnet50
ILSVRC2012_val_00000013.png	guenon	1.58472	guenon	mask	9.96479	resnet18	resnet50
ILSVRC2012_val_00000016.png	grey_whale	-10.31988	grey_whale	jigsaw_puzzle	9.95515	resnet18	resnet50
ILSVRC2012_val_00000017.png	sea_anemone	-2.85859	starfish	umbrella	9.98903	resnet18	resnet50
ILSVRC2012_val_00000018.png	vulture	-5.49260	vulture	shower_curtain	9.98722	resnet18	resnet50
ILSVRC2012_val_00000021.png	porcupine	-0.43252	porcupine	thatch	9.99652	resnet18	resnet50
ILSVRC2012_val_00000022.png	Ibizan_hound	-10.84357	ox	barrow	9.98904	resnet18	resnet50
ILSVRC2012_val_00000025.png	vulture	4.08864	vulture	amphibian	9.99309	resnet18	resnet50
ILSVRC2012_val_00000027.png	white_wolf	3.39127	white_wolf	chainlink_fence	9.95912	resnet18	resnet50
ILSVRC2012_val_00000028.png	English_foxhound	0.73736	Walker_hound	soccer_ball	9.96417	resnet18	resnet50
ILSVRC2012_val_00000029.png	green_snake	7.02808	green_snake	confectionery	9.99069	resnet18	resnet50
ILSVRC2012_val_00000031.png	cabbage_butterfly	-0.72561	cabbage_butterfly	cardoon	9.97901	resnet18	resnet50
ILSVRC2012_val_00000033.png	sea_lion	-8.91578	terrapin	manhole_cover	9.99173	resnet18	resnet50
ILSVRC2012_val_00000034.png	ballplayer	-9.68264	Cardigan	crutch	9.97524	resnet18	resnet50
ILSVRC2012_val_00000037.png	tailed_frog	-9.14538	trilobite	spindle	9.99098	resnet18	resnet50
ILSVRC2012_val_00000040.png	garden_spider	-4.34887	garden_spider	spider_web	9.99753	resnet18	resnet50
ILSVRC2012_val_00000043.png	spoonbill	4.81116	spoonbill	running_shoe	9.98807	resnet18	resnet50
ILSVRC2012_val_00000044.png	standard_schnauzer	-0.31670	miniature_schnauzer	doormat	9.99712	resnet18	resnet50
ILSVRC2012_val_00000045.png	Newfoundland	-10.16455	Newfoundland	poncho	9.97722	resnet18	resnet50
ILSVRC2012_val_00000048.png	English_foxhound	-5.27982	beagle	muzzle	9.96041	resnet18	resnet50
ILSVRC2012_val_00000050.png	sturgeon	-1.48678	gar	jean	9.98639	resnet18	resnet50
ILSVRC2012_val_00000051.png	bee_eater	-3.63253	macaw	quill	9.96065	resnet18	resnet50
ILSVRC2012_val_00000052.png	axolotl	-1.79463	axolotl	coral_reef	9.98147	resnet18	resnet50
