img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-33.38299	nematode	jigsaw_puzzle	9.96427	resnet50	resnext50_32x4d
ILSVRC2012_val_00000003.png	Shetland_sheepdog	1.27514	Shetland_sheepdog	clog	9.99144	resnet50	resnext50_32x4d
ILSVRC2012_val_00000006.png	garter_snake	-7.26311	rock_python	maze	9.96147	resnet50	resnext50_32x4d
ILSVRC2012_val_00000007.png	porcupine	-0.38797	porcupine	coil	9.95464	resnet50	resnext50_32x4d
ILSVRC2012_val_00000010.png	Angora	-7.25473	Maltese_dog	wig	9.99391	resnet50	resnext50_32x4d
ILSVRC2012_val_00000011.png	brain_coral	3.83439	brain_coral	coral_reef	9.99469	resnet50	resnext50_32x4d
ILSVRC2012_val_00000012.png	cougar	7.91781	cougar	remote_control	9.98161	resnet50	resnext50_32x4d
ILSVRC2012_val_00000013.png	guenon	-1.34814	guenon	breastplate	9.99202	resnet50	resnext50_32x4d
ILSVRC2012_val_00000016.png	grey_whale	-4.65908	grey_whale	quilt	9.95964	resnet50	resnext50_32x4d
ILSVRC2012_val_00000017.png	sea_anemone	-4.97301	starfish	nail	9.94372	resnet50	resnext50_32x4d
ILSVRC2012_val_00000018.png	vulture	-29.74134	hammerhead	jigsaw_puzzle	9.98773	resnet50	resnext50_32x4d
ILSVRC2012_val_00000021.png	porcupine	-5.47225	porcupine	greenhouse	9.96060	resnet50	resnext50_32x4d
ILSVRC2012_val_00000022.png	Ibizan_hound	-10.36273	Arabian_camel	stretcher	9.98287	resnet50	resnext50_32x4d
ILSVRC2012_val_00000025.png	vulture	10.14568	vulture	worm_fence	9.97035	resnet50	resnext50_32x4d
ILSVRC2012_val_00000027.png	white_wolf	-10.14684	white_wolf	maze	9.97239	resnet50	resnext50_32x4d
ILSVRC2012_val_00000028.png	English_foxhound	-3.97045	beagle	soccer_ball	9.98835	resnet50	resnext50_32x4d
ILSVRC2012_val_00000029.png	green_snake	-0.17298	green_snake	confectionery	9.98214	resnet50	resnext50_32x4d
ILSVRC2012_val_00000031.png	cabbage_butterfly	-11.63678	cabbage_butterfly	head_cabbage	9.94125	resnet50	resnext50_32x4d
ILSVRC2012_val_00000033.png	sea_lion	-24.37748	tiger_cat	jigsaw_puzzle	9.96373	resnet50	resnext50_32x4d
ILSVRC2012_val_00000034.png	ballplayer	-7.66377	ballplayer	totem_pole	9.96327	resnet50	resnext50_32x4d
ILSVRC2012_val_00000037.png	tailed_frog	-10.01770	stingray	ladle	9.99047	resnet50	resnext50_32x4d
ILSVRC2012_val_00000040.png	garden_spider	-2.22809	tick	spider_web	9.99858	resnet50	resnext50_32x4d
ILSVRC2012_val_00000043.png	spoonbill	-0.59230	spoonbill	brassiere	9.96147	resnet50	resnext50_32x4d
ILSVRC2012_val_00000044.png	standard_schnauzer	-2.85294	miniature_schnauzer	notebook	9.97985	resnet50	resnext50_32x4d
ILSVRC2012_val_00000045.png	Newfoundland	-7.49871	Newfoundland	bonnet	9.98795	resnet50	resnext50_32x4d
ILSVRC2012_val_00000048.png	English_foxhound	-10.30430	beagle	shower_cap	9.96605	resnet50	resnext50_32x4d
ILSVRC2012_val_00000050.png	sturgeon	-10.97018	crayfish	butcher_shop	9.95888	resnet50	resnext50_32x4d
ILSVRC2012_val_00000051.png	bee_eater	-5.38112	dragonfly	quill	9.96326	resnet50	resnext50_32x4d
ILSVRC2012_val_00000052.png	axolotl	-8.77729	starfish	corn	9.99168	resnet50	resnext50_32x4d
ILSVRC2012_val_00000055.png	polecat	-18.76679	Italian_greyhound	bassinet	9.97605	resnet50	resnext50_32x4d
ILSVRC2012_val_00000057.png	Pomeranian	-29.15750	Persian_cat	jigsaw_puzzle	9.94700	resnet50	resnext50_32x4d
ILSVRC2012_val_00000058.png	stinkhorn	6.95573	stinkhorn	mushroom	9.99172	resnet50	resnext50_32x4d
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	1.54576	curly-coated_retriever	stole	9.99077	resnet50	resnext50_32x4d
ILSVRC2012_val_00000063.png	jellyfish	-22.40140	jellyfish	volcano	9.96630	resnet50	resnext50_32x4d
ILSVRC2012_val_00000064.png	green_lizard	-29.53936	tiger_cat	jigsaw_puzzle	9.98931	resnet50	resnext50_32x4d
ILSVRC2012_val_00000066.png	eel	-31.97482	dugong	jigsaw_puzzle	9.98545	resnet50	resnext50_32x4d
ILSVRC2012_val_00000067.png	tusker	-6.44531	tusker	chain_mail	9.99008	resnet50	resnext50_32x4d
ILSVRC2012_val_00000072.png	dugong	-9.34712	starfish	sock	9.96167	resnet50	resnext50_32x4d
ILSVRC2012_val_00000073.png	kite	-0.97204	sulphur-crested_cockatoo	ski	9.97274	resnet50	resnext50_32x4d
ILSVRC2012_val_00000075.png	black_grouse	2.87653	black_grouse	cowboy_boot	9.96775	resnet50	resnext50_32x4d
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-9.36661	standard_poodle	muzzle	9.95596	resnet50	resnext50_32x4d
ILSVRC2012_val_00000078.png	African_hunting_dog	-6.00058	African_hunting_dog	crutch	9.96059	resnet50	resnext50_32x4d
ILSVRC2012_val_00000079.png	otterhound	2.42846	otterhound	tennis_ball	9.97927	resnet50	resnext50_32x4d
ILSVRC2012_val_00000082.png	Afghan_hound	-11.40280	Afghan_hound	stole	9.96815	resnet50	resnext50_32x4d
ILSVRC2012_val_00000084.png	water_snake	-7.93764	water_snake	spider_web	9.99857	resnet50	resnext50_32x4d
ILSVRC2012_val_00000087.png	siamang	-8.23136	barn_spider	spider_web	9.99264	resnet50	resnext50_32x4d
ILSVRC2012_val_00000088.png	spotted_salamander	1.37060	rock_python	coral_reef	9.99998	resnet50	resnext50_32x4d
ILSVRC2012_val_00000090.png	American_alligator	7.87715	American_alligator	lakeside	9.98715	resnet50	resnext50_32x4d
ILSVRC2012_val_00000091.png	white_wolf	6.16238	white_wolf	lighter	9.94309	resnet50	resnext50_32x4d
ILSVRC2012_val_00000092.png	Madagascar_cat	3.42704	Madagascar_cat	binoculars	9.99258	resnet50	resnext50_32x4d
ILSVRC2012_val_00000093.png	gorilla	-0.95380	gorilla	muzzle	9.97427	resnet50	resnext50_32x4d
ILSVRC2012_val_00000095.png	macaque	-2.30813	macaque	teddy	9.99775	resnet50	resnext50_32x4d
ILSVRC2012_val_00000097.png	wood_rabbit	-0.54564	flatworm	stole	9.99709	resnet50	resnext50_32x4d
ILSVRC2012_val_00000098.png	dowitcher	-7.79876	bittern	fig	9.98069	resnet50	resnext50_32x4d
ILSVRC2012_val_00000100.png	bighorn	-19.58085	goose	maze	9.98526	resnet50	resnext50_32x4d
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	0.81639	bloodhound	sombrero	9.95541	resnet50	resnext50_32x4d
