img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	1.82933	water_snake	coil	9.96612	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000003.png	Shetland_sheepdog	4.83355	Shetland_sheepdog	tennis_ball	9.91239	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000006.png	garter_snake	2.23285	water_snake	worm_fence	9.99282	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000007.png	porcupine	-2.82492	peacock	sock	9.99644	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000010.png	Angora	-18.36729	hog	piggy_bank	9.99447	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000011.png	brain_coral	0.76230	brain_coral	jigsaw_puzzle	9.96777	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000012.png	cougar	9.07961	cougar	shower_cap	9.96619	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000013.png	guenon	9.41405	guenon	jean	9.99335	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000016.png	grey_whale	-1.05323	grey_whale	handkerchief	9.98283	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000017.png	sea_anemone	-3.49263	groom	altar	9.96901	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000018.png	vulture	-1.26951	ruffed_grouse	broom	9.98521	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000021.png	porcupine	-7.65035	walking_stick	paintbrush	9.95979	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000022.png	Ibizan_hound	-14.66958	German_short-haired_pointer	barrow	9.94727	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000025.png	vulture	15.05876	vulture	bow	9.95415	resnext50_32x4d	wide_resnet50_2
ILSVRC2012_val_00000027.png	white_wolf	-15.37679	wire-haired_fox_terrier	jigsaw_puzzle	9.99442	resnext50_32x4d	wide_resnet50_2
