img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-1.96755	nematode	sundial	19.98440	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000003.png	Shetland_sheepdog	11.28767	collie	tennis_ball	18.23718	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000006.png	garter_snake	8.02801	garter_snake	pillow	19.96562	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000007.png	porcupine	3.41779	porcupine	sock	18.59797	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000010.png	Angora	-9.75278	Old_English_sheepdog	pillow	19.98488	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000011.png	brain_coral	7.92286	brain_coral	coral_reef	19.96320	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000012.png	cougar	13.09664	cougar	window_screen	19.95915	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000013.png	guenon	4.31070	guenon	jigsaw_puzzle	19.61419	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000016.png	grey_whale	2.54539	grey_whale	jean	19.99540	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000017.png	sea_anemone	-4.76677	groom	jigsaw_puzzle	19.97828	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000018.png	vulture	-1.48005	polecat	paper_towel	19.93476	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000021.png	porcupine	-2.48062	lorikeet	fig	19.75255	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000022.png	Ibizan_hound	-2.43689	coho	stretcher	19.97191	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000025.png	vulture	11.65257	vulture	quilt	19.97935	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000027.png	white_wolf	3.12699	white_wolf	jigsaw_puzzle	19.98751	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000028.png	English_foxhound	4.56410	Saint_Bernard	tennis_ball	19.98328	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000029.png	green_snake	4.26778	green_snake	custard_apple	19.98683	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000031.png	cabbage_butterfly	0.55052	cabbage_butterfly	head_cabbage	17.16148	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000033.png	sea_lion	-3.22357	sea_lion	mask	19.97066	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000034.png	ballplayer	-5.90240	ballplayer	military_uniform	19.92735	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000037.png	tailed_frog	-13.78612	mud_turtle	brassiere	19.97638	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000040.png	garden_spider	-0.21642	garden_spider	spider_web	19.98479	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000043.png	spoonbill	2.31823	spoonbill	sock	19.88023	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000044.png	standard_schnauzer	-4.62944	Sealyham_terrier	teddy	19.55308	efficientnet-b0	resnext50_32x4d
