img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-14.80470	water_snake	maze	19.93743	resnet50	wide_resnet50_2
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-0.78577	collie	vault	19.97756	resnet50	wide_resnet50_2
ILSVRC2012_val_00000006.png	garter_snake	-9.35925	spiny_lobster	plow	19.98739	resnet50	wide_resnet50_2
ILSVRC2012_val_00000007.png	porcupine	-4.00316	peacock	spindle	19.97739	resnet50	wide_resnet50_2
ILSVRC2012_val_00000010.png	Angora	-25.47202	starfish	jigsaw_puzzle	19.97833	resnet50	wide_resnet50_2
ILSVRC2012_val_00000011.png	brain_coral	-0.42497	brain_coral	coral_reef	19.73005	resnet50	wide_resnet50_2
ILSVRC2012_val_00000012.png	cougar	7.14243	cougar	bubble	19.98678	resnet50	wide_resnet50_2
ILSVRC2012_val_00000013.png	guenon	-9.20300	gorilla	breastplate	19.92587	resnet50	wide_resnet50_2
ILSVRC2012_val_00000016.png	grey_whale	-17.26458	peacock	maze	19.97685	resnet50	wide_resnet50_2
ILSVRC2012_val_00000017.png	sea_anemone	-8.88010	sea_urchin	umbrella	19.99164	resnet50	wide_resnet50_2
ILSVRC2012_val_00000018.png	vulture	-0.90143	black_grouse	sock	19.96815	resnet50	wide_resnet50_2
ILSVRC2012_val_00000021.png	porcupine	-35.06639	tusker	bubble	19.97844	resnet50	wide_resnet50_2
ILSVRC2012_val_00000022.png	Ibizan_hound	-8.08810	Arabian_camel	dogsled	19.99259	resnet50	wide_resnet50_2
ILSVRC2012_val_00000025.png	vulture	-9.04439	macaque	valley	19.98377	resnet50	wide_resnet50_2
ILSVRC2012_val_00000027.png	white_wolf	-1.37319	white_wolf	chainlink_fence	19.93389	resnet50	wide_resnet50_2
ILSVRC2012_val_00000028.png	English_foxhound	-3.29159	beagle	soccer_ball	19.97025	resnet50	wide_resnet50_2
ILSVRC2012_val_00000029.png	green_snake	0.49996	green_snake	custard_apple	19.96118	resnet50	wide_resnet50_2
ILSVRC2012_val_00000031.png	cabbage_butterfly	-3.50154	coral_fungus	coral_reef	19.98575	resnet50	wide_resnet50_2
ILSVRC2012_val_00000033.png	sea_lion	-26.60570	brain_coral	jigsaw_puzzle	19.93890	resnet50	wide_resnet50_2
ILSVRC2012_val_00000034.png	ballplayer	-13.21709	ballplayer	stretcher	19.93801	resnet50	wide_resnet50_2
ILSVRC2012_val_00000037.png	tailed_frog	-15.93911	hummingbird	teapot	19.94923	resnet50	wide_resnet50_2
ILSVRC2012_val_00000040.png	garden_spider	-22.04289	bee	bubble	19.97080	resnet50	wide_resnet50_2
ILSVRC2012_val_00000043.png	spoonbill	-8.13715	spoonbill	hip	19.91984	resnet50	wide_resnet50_2
ILSVRC2012_val_00000044.png	standard_schnauzer	-1.14279	miniature_schnauzer	seat_belt	19.98385	resnet50	wide_resnet50_2
ILSVRC2012_val_00000045.png	Newfoundland	-14.61117	giant_schnauzer	stole	19.90187	resnet50	wide_resnet50_2
ILSVRC2012_val_00000048.png	English_foxhound	-29.81944	ox	bubble	19.98718	resnet50	wide_resnet50_2
ILSVRC2012_val_00000050.png	sturgeon	-20.59417	Indian_elephant	vestment	19.98781	resnet50	wide_resnet50_2
ILSVRC2012_val_00000051.png	bee_eater	-30.72176	stinkhorn	jigsaw_puzzle	19.92658	resnet50	wide_resnet50_2
ILSVRC2012_val_00000052.png	axolotl	-38.19897	sea_slug	jigsaw_puzzle	19.92596	resnet50	wide_resnet50_2
ILSVRC2012_val_00000055.png	polecat	-21.78899	orangutan	oxygen_mask	19.98984	resnet50	wide_resnet50_2
ILSVRC2012_val_00000057.png	Pomeranian	-9.02970	Egyptian_cat	quilt	19.97627	resnet50	wide_resnet50_2
ILSVRC2012_val_00000058.png	stinkhorn	-0.14386	stinkhorn	coral_reef	19.99006	resnet50	wide_resnet50_2
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	-11.27553	water_buffalo	plow	19.96894	resnet50	wide_resnet50_2
ILSVRC2012_val_00000063.png	jellyfish	-25.69176	brain_coral	jigsaw_puzzle	19.97687	resnet50	wide_resnet50_2
ILSVRC2012_val_00000064.png	green_lizard	-11.18759	green_lizard	feather_boa	19.93045	resnet50	wide_resnet50_2
ILSVRC2012_val_00000066.png	eel	-37.72212	starfish	jigsaw_puzzle	19.97008	resnet50	wide_resnet50_2
ILSVRC2012_val_00000067.png	tusker	1.59722	tusker	chain_mail	19.93476	resnet50	wide_resnet50_2
ILSVRC2012_val_00000072.png	dugong	-6.21540	starfish	clog	19.93554	resnet50	wide_resnet50_2
ILSVRC2012_val_00000073.png	kite	-9.16275	brain_coral	necklace	19.98623	resnet50	wide_resnet50_2
ILSVRC2012_val_00000075.png	black_grouse	-7.42198	magpie	chainlink_fence	19.98128	resnet50	wide_resnet50_2
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-7.49162	vizsla	muzzle	19.93808	resnet50	wide_resnet50_2
ILSVRC2012_val_00000078.png	African_hunting_dog	-18.44520	Italian_greyhound	sock	19.92724	resnet50	wide_resnet50_2
