img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-4.59062	American_alligator	manhole_cover	19.94539	resnext50_32x4d	resnet18
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-10.96210	Lakeland_terrier	jigsaw_puzzle	19.93256	resnext50_32x4d	resnet18
ILSVRC2012_val_00000006.png	garter_snake	-2.61448	cicada	shopping_cart	19.96617	resnext50_32x4d	resnet18
ILSVRC2012_val_00000007.png	porcupine	-4.32751	armadillo	sock	19.89301	resnext50_32x4d	resnet18
ILSVRC2012_val_00000010.png	Angora	-4.29552	tick	piggy_bank	19.99466	resnext50_32x4d	resnet18
ILSVRC2012_val_00000011.png	brain_coral	-5.93816	brain_coral	jackfruit	19.97637	resnext50_32x4d	resnet18
ILSVRC2012_val_00000012.png	cougar	-6.59416	lion	mask	19.89173	resnext50_32x4d	resnet18
ILSVRC2012_val_00000013.png	guenon	1.55015	guenon	jigsaw_puzzle	19.97593	resnext50_32x4d	resnet18
ILSVRC2012_val_00000016.png	grey_whale	-4.29958	loggerhead	volcano	19.94635	resnext50_32x4d	resnet18
ILSVRC2012_val_00000017.png	sea_anemone	-10.89970	sea_anemone	vestment	19.96486	resnext50_32x4d	resnet18
ILSVRC2012_val_00000018.png	vulture	0.16376	American_alligator	screw	19.95798	resnext50_32x4d	resnet18
ILSVRC2012_val_00000021.png	porcupine	-1.86593	ruffed_grouse	bow	19.97420	resnext50_32x4d	resnet18
ILSVRC2012_val_00000022.png	Ibizan_hound	-6.85377	West_Highland_white_terrier	jigsaw_puzzle	19.93553	resnext50_32x4d	resnet18
ILSVRC2012_val_00000025.png	vulture	-0.51061	dung_beetle	shopping_cart	19.97649	resnext50_32x4d	resnet18
ILSVRC2012_val_00000027.png	white_wolf	-6.78210	timber_wolf	chainlink_fence	19.97677	resnext50_32x4d	resnet18
ILSVRC2012_val_00000028.png	English_foxhound	1.46893	Airedale	bath_towel	19.90144	resnext50_32x4d	resnet18
ILSVRC2012_val_00000029.png	green_snake	0.93913	green_snake	ocarina	19.87962	resnext50_32x4d	resnet18
ILSVRC2012_val_00000031.png	cabbage_butterfly	0.95588	cabbage_butterfly	head_cabbage	19.91973	resnext50_32x4d	resnet18
ILSVRC2012_val_00000033.png	sea_lion	1.02862	cicada	mask	19.97091	resnext50_32x4d	resnet18
ILSVRC2012_val_00000034.png	ballplayer	-0.62033	ant	assault_rifle	19.96068	resnext50_32x4d	resnet18
ILSVRC2012_val_00000037.png	tailed_frog	-3.28940	common_iguana	brassiere	19.97804	resnext50_32x4d	resnet18
ILSVRC2012_val_00000040.png	garden_spider	-0.56974	garden_spider	bubble	19.90192	resnext50_32x4d	resnet18
ILSVRC2012_val_00000043.png	spoonbill	-3.87001	crane	stole	19.98042	resnext50_32x4d	resnet18
ILSVRC2012_val_00000044.png	standard_schnauzer	-15.32624	triceratops	jigsaw_puzzle	19.93169	resnext50_32x4d	resnet18
ILSVRC2012_val_00000045.png	Newfoundland	-10.67241	guinea_pig	stole	19.97829	resnext50_32x4d	resnet18
ILSVRC2012_val_00000048.png	English_foxhound	-5.67809	groom	bubble	19.97194	resnext50_32x4d	resnet18
ILSVRC2012_val_00000050.png	sturgeon	-5.99279	coho	poncho	19.91872	resnext50_32x4d	resnet18
ILSVRC2012_val_00000051.png	bee_eater	1.25152	dragonfly	quill	19.92277	resnext50_32x4d	resnet18
ILSVRC2012_val_00000052.png	axolotl	0.00481	brain_coral	quilt	19.91912	resnext50_32x4d	resnet18
ILSVRC2012_val_00000055.png	polecat	-3.59036	West_Highland_white_terrier	quilt	19.97967	resnext50_32x4d	resnet18
ILSVRC2012_val_00000057.png	Pomeranian	-2.03536	Persian_cat	tub	19.96868	resnext50_32x4d	resnet18
ILSVRC2012_val_00000058.png	stinkhorn	0.29038	stinkhorn	strawberry	19.93390	resnext50_32x4d	resnet18
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	-2.46403	peacock	oxcart	19.93966	resnext50_32x4d	resnet18
ILSVRC2012_val_00000063.png	jellyfish	-2.96687	jellyfish	jigsaw_puzzle	19.86609	resnext50_32x4d	resnet18
ILSVRC2012_val_00000064.png	green_lizard	-6.66887	lacewing	feather_boa	19.98573	resnext50_32x4d	resnet18
ILSVRC2012_val_00000066.png	eel	-1.81024	rock_beauty	coral_reef	19.99268	resnext50_32x4d	resnet18
ILSVRC2012_val_00000067.png	tusker	3.98946	tusker	cowboy_boot	19.95758	resnext50_32x4d	resnet18
ILSVRC2012_val_00000072.png	dugong	-9.22809	brain_coral	sock	19.90536	resnext50_32x4d	resnet18
ILSVRC2012_val_00000073.png	kite	-1.06718	bee	necklace	19.97887	resnext50_32x4d	resnet18
ILSVRC2012_val_00000075.png	black_grouse	4.39628	cock	worm_fence	19.97120	resnext50_32x4d	resnet18
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	0.72365	ram	mask	19.87314	resnext50_32x4d	resnet18
ILSVRC2012_val_00000078.png	African_hunting_dog	0.55110	tarantula	spider_web	19.97644	resnext50_32x4d	resnet18
ILSVRC2012_val_00000079.png	otterhound	-2.98309	orangutan	mask	19.98594	resnext50_32x4d	resnet18
ILSVRC2012_val_00000082.png	Afghan_hound	-5.79773	Afghan_hound	feather_boa	19.94867	resnext50_32x4d	resnet18
