img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	3.48877	sea_snake	sandbar	2.99849	resnet50	densenet-121
ILSVRC2012_val_00000003.png	Shetland_sheepdog	8.29487	Shetland_sheepdog	tennis_ball	2.99814	resnet50	densenet-121
ILSVRC2012_val_00000006.png	garter_snake	3.56882	garter_snake	worm_fence	2.98827	resnet50	densenet-121
ILSVRC2012_val_00000007.png	porcupine	7.10810	porcupine	dumbbell	2.99257	resnet50	densenet-121
ILSVRC2012_val_00000010.png	Angora	-5.51392	Maltese_dog	wig	2.99850	resnet50	densenet-121
ILSVRC2012_val_00000011.png	brain_coral	9.93288	brain_coral	coral_reef	2.99864	resnet50	densenet-121
ILSVRC2012_val_00000012.png	cougar	13.26177	cougar	remote_control	2.99814	resnet50	densenet-121
ILSVRC2012_val_00000013.png	guenon	11.23524	guenon	mask	2.99009	resnet50	densenet-121
ILSVRC2012_val_00000016.png	grey_whale	15.66848	grey_whale	submarine	2.99661	resnet50	densenet-121
ILSVRC2012_val_00000017.png	sea_anemone	0.89586	goldfish	torch	2.99333	resnet50	densenet-121
ILSVRC2012_val_00000018.png	vulture	5.45640	kite	warplane	2.99815	resnet50	densenet-121
ILSVRC2012_val_00000021.png	porcupine	11.22616	porcupine	thatch	2.98595	resnet50	densenet-121
ILSVRC2012_val_00000022.png	Ibizan_hound	1.04899	Saluki	dogsled	2.98037	resnet50	densenet-121
ILSVRC2012_val_00000025.png	vulture	16.03400	vulture	stole	2.99285	resnet50	densenet-121
ILSVRC2012_val_00000027.png	white_wolf	11.93673	white_wolf	dogsled	3.00000	resnet50	densenet-121
ILSVRC2012_val_00000028.png	English_foxhound	1.80789	Walker_hound	soccer_ball	2.99324	resnet50	densenet-121
ILSVRC2012_val_00000029.png	green_snake	5.88434	green_snake	confectionery	2.99569	resnet50	densenet-121
ILSVRC2012_val_00000031.png	cabbage_butterfly	13.64521	cabbage_butterfly	head_cabbage	2.98906	resnet50	densenet-121
ILSVRC2012_val_00000033.png	sea_lion	6.16753	otter	soccer_ball	2.99770	resnet50	densenet-121
ILSVRC2012_val_00000034.png	ballplayer	-4.08586	ballplayer	military_uniform	2.99700	resnet50	densenet-121
ILSVRC2012_val_00000037.png	tailed_frog	0.25013	leaf_beetle	hip	2.99740	resnet50	densenet-121
ILSVRC2012_val_00000040.png	garden_spider	3.22809	garden_spider	spider_web	3.00000	resnet50	densenet-121
ILSVRC2012_val_00000043.png	spoonbill	15.80304	spoonbill	unicycle	2.99862	resnet50	densenet-121
ILSVRC2012_val_00000044.png	standard_schnauzer	11.43452	standard_schnauzer	water_bottle	2.99800	resnet50	densenet-121
ILSVRC2012_val_00000045.png	Newfoundland	12.11108	Newfoundland	tennis_ball	2.98605	resnet50	densenet-121
ILSVRC2012_val_00000048.png	English_foxhound	-1.58699	American_Staffordshire_terrier	bubble	2.98709	resnet50	densenet-121
ILSVRC2012_val_00000050.png	sturgeon	2.13298	barracouta	butcher_shop	2.99644	resnet50	densenet-121
ILSVRC2012_val_00000051.png	bee_eater	3.42306	bee_eater	quill	2.99309	resnet50	densenet-121
