img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	5.30207	American_alligator	maze	2.98795	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000003.png	Shetland_sheepdog	12.65392	collie	tennis_ball	2.99676	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000006.png	garter_snake	3.39005	alligator_lizard	maze	2.99297	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000007.png	porcupine	4.36216	porcupine	hay	2.99349	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000010.png	Angora	-0.27643	Pomeranian	wig	2.98692	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000011.png	brain_coral	5.54970	brain_coral	coral_reef	2.99798	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000012.png	cougar	14.58515	cougar	tennis_ball	2.96303	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000013.png	guenon	16.57539	guenon	window_screen	2.99201	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000016.png	grey_whale	10.34778	grey_whale	volcano	2.99682	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000017.png	sea_anemone	-2.46305	tarantula	feather_boa	2.98543	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000018.png	vulture	1.24528	chickadee	parachute	2.99130	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000021.png	porcupine	4.31017	porcupine	worm_fence	2.99928	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000022.png	Ibizan_hound	-0.98386	Arabian_camel	plow	2.98157	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000025.png	vulture	5.20197	vulture	assault_rifle	2.99921	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000027.png	white_wolf	11.52619	white_wolf	oxcart	2.99801	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000028.png	English_foxhound	9.01524	beagle	muzzle	2.98732	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000029.png	green_snake	16.46975	green_snake	ear	2.98843	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000031.png	cabbage_butterfly	3.44499	cabbage_butterfly	pot	2.99680	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000033.png	sea_lion	7.17276	otter	teapot	2.98734	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000034.png	ballplayer	-3.04543	ballplayer	unicycle	2.99896	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000037.png	tailed_frog	5.56904	gar	zucchini	2.98706	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000040.png	garden_spider	2.33960	garden_spider	spider_web	2.99293	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000043.png	spoonbill	8.41251	spoonbill	barrow	2.98799	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000044.png	standard_schnauzer	14.62468	standard_schnauzer	muzzle	2.99137	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000045.png	Newfoundland	5.54897	Newfoundland	fur_coat	2.98725	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000048.png	English_foxhound	2.03073	ox	tennis_ball	2.98987	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000050.png	sturgeon	-2.55302	cockroach	fur_coat	2.94920	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000051.png	bee_eater	6.32496	coucal	quill	2.98977	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000052.png	axolotl	12.65625	axolotl	paper_towel	2.99003	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000055.png	polecat	7.62685	hamster	cradle	2.98645	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000057.png	Pomeranian	16.58207	Pekinese	doormat	2.98636	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000058.png	stinkhorn	9.68562	stinkhorn	mushroom	2.99881	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	5.27691	Kerry_blue_terrier	hay	2.98708	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000063.png	jellyfish	-0.09028	loggerhead	sleeping_bag	2.98986	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000064.png	green_lizard	5.09760	American_chameleon	zucchini	2.99732	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000066.png	eel	2.79655	eel	coral_reef	2.99296	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000067.png	tusker	15.90066	tusker	cardigan	2.98502	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000072.png	dugong	4.28979	dugong	dough	2.99732	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000073.png	kite	5.29888	kite	dogsled	2.98908	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000075.png	black_grouse	21.13201	black_grouse	worm_fence	2.99176	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	11.53333	Rhodesian_ridgeback	muzzle	2.99678	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000078.png	African_hunting_dog	8.28189	African_hunting_dog	dogsled	2.98836	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000079.png	otterhound	10.82865	briard	tennis_ball	2.98818	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000082.png	Afghan_hound	5.33420	Afghan_hound	fur_coat	2.98668	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000084.png	water_snake	2.61481	European_fire_salamander	spider_web	2.98414	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000087.png	siamang	4.64697	colobus	acorn	2.98613	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000088.png	spotted_salamander	3.00008	water_snake	spider_web	2.99874	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000090.png	American_alligator	6.02724	American_alligator	acorn	2.99585	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000091.png	white_wolf	2.53195	kuvasz	fur_coat	2.98149	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000092.png	Madagascar_cat	9.91069	guenon	teddy	2.99355	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000093.png	gorilla	7.97108	cougar	doormat	2.99003	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000095.png	macaque	10.17271	macaque	fur_coat	2.99695	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000097.png	wood_rabbit	13.46285	wood_rabbit	muzzle	2.97374	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000098.png	dowitcher	10.18564	dowitcher	mushroom	2.99715	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000100.png	bighorn	3.27609	bighorn	maze	2.99621	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	5.75394	American_Staffordshire_terrier	muzzle	2.99712	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000105.png	silky_terrier	0.52813	silky_terrier	wig	2.99756	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000107.png	harvestman	6.60444	harvestman	bow	2.98639	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000111.png	American_lobster	0.38150	American_lobster	cheeseburger	2.99602	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000113.png	kelpie	7.25093	kelpie	muzzle	2.95566	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000115.png	Ibizan_hound	6.47772	beagle	tennis_ball	2.98904	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000124.png	rock_beauty	4.22207	puffer	strainer	2.99338	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000125.png	grasshopper	-1.86885	ant	hip	2.98889	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000127.png	impala	1.42879	impala	plow	2.99860	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000128.png	bald_eagle	8.73097	kite	pedestal	2.99656	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000130.png	Persian_cat	1.93236	Persian_cat	fur_coat	2.99670	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000133.png	hyena	12.20687	hyena	mushroom	2.97187	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000134.png	Doberman	-0.71342	water_buffalo	croquet_ball	2.98237	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000136.png	warthog	4.07173	Komodo_dragon	mousetrap	2.99874	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000138.png	sea_urchin	4.31173	sea_urchin	cardoon	2.99815	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000141.png	bloodhound	-2.03980	pug	ice_lolly	2.98951	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000142.png	sea_urchin	2.21453	sea_urchin	coral_reef	2.99940	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000147.png	toy_poodle	7.59243	miniature_poodle	tennis_ball	2.98804	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000153.png	common_iguana	18.88917	common_iguana	ocarina	2.98846	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000154.png	sea_slug	7.19993	sea_slug	saltshaker	2.99899	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000156.png	coyote	6.07759	dhole	muzzle	2.98800	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000157.png	red_fox	9.70985	red_fox	computer_keyboard	2.99706	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000161.png	Irish_setter	4.48956	German_shepherd	muzzle	2.99931	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000170.png	toy_terrier	2.25331	Chihuahua	muzzle	2.99787	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000172.png	English_setter	10.09372	English_setter	wig	2.98564	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000174.png	Great_Pyrenees	13.76072	kuvasz	tennis_ball	2.99745	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000176.png	miniature_schnauzer	15.60604	Scotch_terrier	muzzle	2.99598	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000177.png	red-backed_sandpiper	14.13383	red-backed_sandpiper	seashore	2.98830	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000178.png	Eskimo_dog	9.88394	Eskimo_dog	dogsled	2.99357	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000179.png	sorrel	6.85882	sorrel	fountain	2.99901	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000180.png	Shetland_sheepdog	7.68640	Border_collie	muzzle	2.96761	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000181.png	skunk	0.75498	Angora	banjo	2.96073	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000186.png	snow_leopard	5.48953	tabby	fur_coat	2.99567	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000188.png	coyote	10.77698	coyote	oxcart	2.99848	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000189.png	platypus	3.88160	platypus	paddle	2.99651	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000191.png	American_Staffordshire_terrier	6.16825	American_Staffordshire_terrier	tennis_ball	2.98741	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000195.png	Dungeness_crab	4.88815	Dungeness_crab	rotisserie	2.98917	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000196.png	lionfish	12.28346	lionfish	coral_reef	2.99885	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000198.png	bulbul	1.43733	bulbul	hip	2.99093	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000200.png	gyromitra	7.89949	gyromitra	mushroom	2.99883	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000203.png	Bouvier_des_Flandres	9.62505	Kerry_blue_terrier	thatch	2.99042	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000206.png	proboscis_monkey	0.02609	proboscis_monkey	jackfruit	2.99787	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000207.png	albatross	5.66582	ruffed_grouse	plow	2.99775	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000211.png	Siamese_cat	13.70681	Siamese_cat	muzzle	2.98427	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000217.png	bulbul	12.58046	bulbul	fig	2.98487	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000218.png	wolf_spider	10.13727	wolf_spider	spider_web	2.98810	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000220.png	pug	7.13335	pug	wool	2.99168	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000224.png	Irish_setter	7.03094	golden_retriever	tennis_ball	2.98675	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000225.png	European_fire_salamander	7.84032	European_fire_salamander	stretcher	2.99020	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000227.png	Brittany_spaniel	9.33225	Brittany_spaniel	toilet_tissue	2.96106	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000228.png	Ibizan_hound	0.13632	collie	dogsled	2.98064	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000229.png	mud_turtle	1.11833	mud_turtle	fountain	2.99903	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000231.png	hermit_crab	-0.15737	Dungeness_crab	rotisserie	2.98484	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000233.png	snow_leopard	18.27858	snow_leopard	remote_control	2.99668	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000236.png	goldfish	5.35989	anemone_fish	orange	2.99946	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000237.png	English_foxhound	8.58806	English_foxhound	soccer_ball	2.99666	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000238.png	king_crab	1.12442	king_crab	ice_lolly	2.99629	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000242.png	gorilla	5.82421	baboon	megalith	2.98723	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000245.png	hermit_crab	2.90015	hermit_crab	nail	2.98860	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000246.png	bighorn	8.54437	ram	teddy	2.99899	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000247.png	junco	14.81215	junco	paintbrush	2.98740	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000248.png	Staffordshire_bullterrier	6.81121	Staffordshire_bullterrier	muzzle	2.97407	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000255.png	scuba_diver	1.87735	scuba_diver	snorkel	0.00000	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000258.png	eft	12.73018	eft	nail	2.98444	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000262.png	goldfish	-1.75837	jellyfish	coral_reef	2.99735	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000263.png	Saluki	7.47464	Saluki	muzzle	2.98673	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000269.png	Siberian_husky	5.54477	kuvasz	dogsled	2.99570	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000273.png	skunk	3.77117	skunk	ski_mask	2.98091	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000276.png	eft	7.61869	eft	mushroom	2.99607	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000278.png	bee_eater	10.37959	bee_eater	Granny_Smith	2.98973	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000279.png	Dandie_Dinmont	3.26169	ram	teddy	2.99209	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000283.png	Persian_cat	4.67789	Persian_cat	teddy	2.99765	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000293.png	tench	6.24512	gar	chainlink_fence	2.98791	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000297.png	frilled_lizard	2.11533	common_iguana	brass	2.97195	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000298.png	green_mamba	14.05724	green_mamba	cucumber	2.99581	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000299.png	trilobite	0.50971	trilobite	vault	2.99758	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000300.png	Saluki	6.12366	Saluki	tennis_ball	2.99853	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000301.png	sea_cucumber	3.06800	chiton	megalith	2.99400	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000303.png	tiger	18.52142	jaguar	thimble	2.99272	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000304.png	coral_fungus	1.49332	stinkhorn	mushroom	2.98398	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000306.png	water_buffalo	4.67136	water_buffalo	canoe	2.97336	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000307.png	goldfish	11.15090	goldfish	coral_reef	2.98596	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000312.png	barracouta	5.99935	hammerhead	snorkel	2.71324	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000316.png	eel	8.35245	eel	mitten	2.99844	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000318.png	great_grey_owl	13.90990	great_grey_owl	tennis_ball	2.99733	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000319.png	echidna	10.16152	echidna	broom	2.98652	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000322.png	skunk	9.07947	skunk	hand_blower	2.99778	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000323.png	grey_fox	8.14607	grey_fox	mousetrap	2.99759	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000324.png	sea_snake	1.02977	sea_snake	hook	2.99685	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000326.png	black-footed_ferret	4.60530	black-footed_ferret	washer	2.98782	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000327.png	black-and-tan_coonhound	7.23734	Rottweiler	muzzle	2.99816	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000328.png	kite	20.30683	kite	hamper	2.99921	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000329.png	cock	-0.22321	cock	shopping_basket	2.98719	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000333.png	pug	5.84217	pug	muzzle	2.98439	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000337.png	night_snake	9.15158	boa_constrictor	honeycomb	2.99558	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000340.png	titi	10.96399	titi	hatchet	2.97331	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000341.png	groom	-1.76323	groom	ice_lolly	2.99602	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000342.png	dung_beetle	6.25149	dung_beetle	acorn	2.98279	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000343.png	llama	-0.45071	llama	bow_tie	2.98708	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000348.png	cheetah	13.74498	cheetah	chain_mail	2.99803	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000350.png	Boston_bull	9.27288	Boston_bull	space_heater	2.98480	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000355.png	chow	13.44530	chow	dishwasher	2.99068	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000356.png	flamingo	5.50876	flamingo	parachute	2.99701	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000361.png	tiger_beetle	15.18376	tiger_beetle	honeycomb	2.99727	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000362.png	box_turtle	12.89595	box_turtle	plastic_bag	2.98827	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000363.png	bittern	11.69102	bittern	mushroom	2.99114	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000370.png	coucal	11.14925	coucal	caldron	2.99675	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000371.png	brain_coral	9.12936	brain_coral	sock	3.00000	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000375.png	Labrador_retriever	5.70374	Great_Dane	muzzle	2.96402	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000379.png	cairn	0.85038	pug	rain_barrel	2.98584	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000383.png	komondor	2.22882	komondor	broom	2.98305	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000386.png	jellyfish	4.89992	jellyfish	quill	2.99811	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000389.png	crane	0.08999	American_egret	lakeside	2.99809	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000390.png	bittern	15.05497	bittern	fig	2.97284	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000391.png	Norfolk_terrier	10.07854	Norfolk_terrier	tennis_ball	2.97811	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000393.png	Shetland_sheepdog	9.01078	Shetland_sheepdog	carton	2.99661	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000395.png	garden_spider	1.37827	garden_spider	pajama	2.97502	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000396.png	tarantula	7.54506	tarantula	stretcher	2.98630	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000398.png	Madagascar_cat	1.12480	West_Highland_white_terrier	apiary	2.98215	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000399.png	standard_poodle	6.05727	standard_poodle	teddy	2.99293	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000401.png	black-footed_ferret	10.49466	black-footed_ferret	paper_towel	2.99425	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000404.png	loggerhead	9.96069	loggerhead	honeycomb	2.99310	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000405.png	Scottish_deerhound	10.83203	Scottish_deerhound	muzzle	2.99372	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000407.png	ant	8.58805	ant	spider_web	2.98535	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000409.png	white_wolf	9.62936	white_wolf	teddy	2.97307	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000411.png	Scotch_terrier	2.24369	Scotch_terrier	feather_boa	2.99235	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000414.png	indigo_bunting	6.75249	indigo_bunting	fig	2.98953	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000415.png	drake	21.98061	drake	paddle	2.99958	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000418.png	dragonfly	0.86825	black_and_gold_garden_spider	cornet	2.99232	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000420.png	bee_eater	4.37295	bee_eater	paintbrush	2.99795	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000424.png	Afghan_hound	11.90511	Afghan_hound	fur_coat	2.96081	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000425.png	toy_poodle	12.36417	miniature_poodle	teddy	2.99591	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000429.png	Kerry_blue_terrier	-1.73836	Kerry_blue_terrier	fountain	2.99753	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000436.png	miniature_schnauzer	6.10193	miniature_schnauzer	muzzle	2.99880	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000439.png	bulbul	4.95245	bulbul	paintbrush	2.99085	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000440.png	Scotch_terrier	3.26967	Scotch_terrier	feather_boa	2.99738	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000441.png	otterhound	11.14030	otterhound	tennis_ball	2.99785	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000444.png	ibex	10.57664	ibex	oxcart	2.99188	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000446.png	skunk	3.58520	quail	plow	2.99937	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000447.png	skunk	2.11173	Eskimo_dog	paper_towel	2.98416	resnext50_32x4d	squeezenet
ILSVRC2012_val_00000450.png	Great_Pyrenees	7.35676	Great_Pyrenees	tennis_ball	2.98701	resnext50_32x4d	squeezenet
