img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	5.72210	sea_snake	sandbar	2.99964	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000003.png	Shetland_sheepdog	7.23129	collie	tennis_ball	2.99215	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000006.png	garter_snake	4.52565	garter_snake	worm_fence	2.98531	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000007.png	porcupine	7.60034	porcupine	quill	2.99462	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000010.png	Angora	4.76814	Maltese_dog	wig	2.98504	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000011.png	brain_coral	5.57522	brain_coral	coral_reef	2.99677	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000012.png	cougar	8.98462	cougar	maillot	2.94322	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000013.png	guenon	7.53655	guenon	bottlecap	2.98499	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000016.png	grey_whale	8.33197	grey_whale	volcano	2.99787	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000017.png	sea_anemone	3.50080	goldfish	torch	2.99102	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000018.png	vulture	4.88746	vulture	parachute	2.99709	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000021.png	porcupine	10.69939	porcupine	projector	2.97299	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000022.png	Ibizan_hound	3.57037	German_short-haired_pointer	dogsled	2.99124	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000025.png	vulture	7.19663	vulture	rubber_eraser	2.99833	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000027.png	white_wolf	8.92735	white_wolf	alp	2.98455	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000028.png	English_foxhound	5.91279	Walker_hound	matchstick	2.98707	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000029.png	green_snake	6.54007	green_snake	strawberry	2.99118	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000031.png	cabbage_butterfly	8.05382	cabbage_butterfly	head_cabbage	2.98306	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000033.png	sea_lion	6.86485	otter	maze	2.99850	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000034.png	ballplayer	1.18249	ballplayer	knee_pad	2.98517	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000037.png	tailed_frog	6.63176	common_newt	wooden_spoon	2.98720	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000040.png	garden_spider	2.88302	garden_spider	spider_web	2.99655	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000043.png	spoonbill	6.47554	spoonbill	golfcart	2.99775	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000044.png	standard_schnauzer	6.70193	standard_schnauzer	trailer_truck	2.98522	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000045.png	Newfoundland	10.10992	Newfoundland	bassoon	2.98375	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000048.png	English_foxhound	7.30338	beagle	tennis_ball	2.96313	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000050.png	sturgeon	3.87134	gar	butcher_shop	0.00000	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000051.png	bee_eater	7.27037	bee_eater	quill	2.98714	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000052.png	axolotl	8.17088	axolotl	window_screen	2.98683	wide_resnet50_2	efficientnet-b0-advtrain
ILSVRC2012_val_00000055.png	polecat	5.95493	black-footed_ferret	nipple	2.99196	wide_resnet50_2	efficientnet-b0-advtrain
