img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	8.65289	sea_snake	sandbar	2.99964	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000003.png	Shetland_sheepdog	9.67107	Shetland_sheepdog	fur_coat	2.99215	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000006.png	garter_snake	11.08249	garter_snake	worm_fence	2.98531	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000007.png	porcupine	5.89042	porcupine	quill	2.99462	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000010.png	Angora	-9.32074	toy_poodle	wig	2.98504	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000011.png	brain_coral	6.44448	brain_coral	safety_pin	2.99677	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000012.png	cougar	12.83070	cougar	corn	2.94322	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000013.png	guenon	10.67046	guenon	jean	2.98499	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000016.png	grey_whale	15.81791	grey_whale	megalith	2.99787	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000017.png	sea_anemone	1.06946	goldfish	torch	2.99102	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000018.png	vulture	2.57069	kite	parachute	2.99709	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000021.png	porcupine	4.60611	porcupine	spider_web	2.97299	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000022.png	Ibizan_hound	1.62994	German_short-haired_pointer	muzzle	2.99124	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000025.png	vulture	10.24030	vulture	plow	2.99833	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000027.png	white_wolf	9.20587	white_wolf	dogsled	2.98455	wide_resnet50_2	resnext50_32x4d
ILSVRC2012_val_00000028.png	English_foxhound	2.02411	beagle	tennis_ball	2.98707	wide_resnet50_2	resnext50_32x4d
