img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	4.86289	water_snake	seashore	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000003.png	Shetland_sheepdog	7.77123	Shetland_sheepdog	turnstile	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000006.png	garter_snake	4.83158	garter_snake	worm_fence	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000007.png	porcupine	7.14979	porcupine	Petri_dish	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000010.png	Angora	-0.52733	Angora	wool	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000011.png	brain_coral	5.66167	brain_coral	coral_reef	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000012.png	cougar	7.76700	cougar	feather_boa	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000013.png	guenon	5.71276	guenon	dam	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000016.png	grey_whale	6.38722	grey_whale	volcano	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000017.png	sea_anemone	4.82499	starfish	umbrella	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000018.png	vulture	6.97542	vulture	parachute	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000021.png	porcupine	5.07572	wallaby	hip	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000022.png	Ibizan_hound	3.19809	Weimaraner	maypole	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000025.png	vulture	7.03998	vulture	valley	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000027.png	white_wolf	7.83689	white_wolf	lakeside	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000028.png	English_foxhound	5.42703	English_foxhound	soccer_ball	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000029.png	green_snake	5.53227	green_snake	coil	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000031.png	cabbage_butterfly	6.65652	cabbage_butterfly	head_cabbage	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
