img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	4.47922	sea_snake	sandbar	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000003.png	Shetland_sheepdog	7.92393	collie	tripod	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000006.png	garter_snake	4.31654	garter_snake	sandbar	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000007.png	porcupine	7.35184	porcupine	quill	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000010.png	Angora	6.31848	Angora	wool	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000011.png	brain_coral	5.49391	brain_coral	coral_reef	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000012.png	cougar	8.30352	cougar	feather_boa	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000013.png	guenon	5.69404	guenon	dam	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000016.png	grey_whale	7.56738	grey_whale	volcano	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000017.png	sea_anemone	6.07193	starfish	candle	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000018.png	vulture	6.09483	vulture	potpie	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000021.png	porcupine	4.96461	porcupine	coral_reef	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000022.png	Ibizan_hound	4.55360	English_foxhound	cowboy_hat	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000025.png	vulture	5.91574	vulture	rubber_eraser	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000027.png	white_wolf	6.94838	white_wolf	lakeside	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000028.png	English_foxhound	5.80062	Walker_hound	soccer_ball	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000029.png	green_snake	5.54300	green_snake	mushroom	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000031.png	cabbage_butterfly	7.46781	cabbage_butterfly	head_cabbage	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000033.png	sea_lion	5.76004	sea_lion	trifle	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000034.png	ballplayer	0.99072	ballplayer	aircraft_carrier	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000037.png	tailed_frog	1.66156	common_newt	maraca	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000040.png	garden_spider	3.18126	tick	hip	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000043.png	spoonbill	7.91799	spoonbill	barrow	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000044.png	standard_schnauzer	8.17021	standard_schnauzer	apron	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000045.png	Newfoundland	8.94730	Newfoundland	snowmobile	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000048.png	English_foxhound	5.31932	English_foxhound	soccer_ball	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000050.png	sturgeon	-1.33661	barracouta	butcher_shop	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000051.png	bee_eater	8.18102	bee_eater	bolo_tie	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000052.png	axolotl	7.56729	axolotl	sunglasses	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000055.png	polecat	6.33076	polecat	pickup	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000057.png	Pomeranian	5.36093	Pekinese	tennis_ball	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000058.png	stinkhorn	6.67572	stinkhorn	beacon	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	6.59465	curly-coated_retriever	dome	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000063.png	jellyfish	1.87691	ice_bear	plastic_bag	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000064.png	green_lizard	5.90090	American_chameleon	cucumber	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000066.png	eel	6.42237	eel	mailbag	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000067.png	tusker	8.25108	tusker	chain_mail	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000072.png	dugong	6.02752	dugong	sweatshirt	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000073.png	kite	5.60248	kite	lab_coat	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000075.png	black_grouse	7.91962	black_grouse	steam_locomotive	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	5.26327	Rhodesian_ridgeback	gasmask	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000078.png	African_hunting_dog	8.13260	African_hunting_dog	lab_coat	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000079.png	otterhound	9.73695	otterhound	mousetrap	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000082.png	Afghan_hound	7.18663	Afghan_hound	thresher	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000084.png	water_snake	2.93739	ant	spider_web	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000087.png	siamang	5.73913	gibbon	candle	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000088.png	spotted_salamander	5.37629	common_newt	hot_pot	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000090.png	American_alligator	7.82125	American_alligator	binder	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000091.png	white_wolf	2.75253	white_wolf	dogsled	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000092.png	Madagascar_cat	6.18937	Madagascar_cat	prison	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000093.png	gorilla	8.52280	gorilla	gas_pump	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000095.png	macaque	6.68769	macaque	pay-phone	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000097.png	wood_rabbit	7.45186	wood_rabbit	half_track	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000098.png	dowitcher	6.87221	dowitcher	running_shoe	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000100.png	bighorn	3.39765	bighorn	alp	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	7.33674	Rhodesian_ridgeback	tennis_ball	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000105.png	silky_terrier	2.08486	silky_terrier	broccoli	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000107.png	harvestman	6.29341	harvestman	spider_web	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000111.png	American_lobster	4.69845	American_lobster	plate	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000113.png	kelpie	7.16627	kelpie	tennis_ball	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000115.png	Ibizan_hound	5.30068	Brittany_spaniel	tennis_ball	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000124.png	rock_beauty	3.79444	puffer	coral_reef	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000125.png	grasshopper	0.78914	grasshopper	hip	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000127.png	impala	8.93765	impala	Windsor_tie	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000128.png	bald_eagle	6.20265	kite	pole	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000130.png	Persian_cat	6.12014	Persian_cat	teddy	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000133.png	hyena	7.23588	hyena	lampshade	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000134.png	Doberman	5.18779	miniature_pinscher	croquet_ball	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000136.png	warthog	5.41206	mongoose	vault	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000138.png	sea_urchin	6.34631	sea_urchin	cardoon	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000141.png	bloodhound	8.25057	bloodhound	jigsaw_puzzle	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000142.png	sea_urchin	3.52248	sea_urchin	coral_reef	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000147.png	toy_poodle	6.45285	miniature_poodle	corn	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000153.png	common_iguana	7.95430	common_iguana	jackfruit	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000154.png	sea_slug	5.02431	sea_slug	coral_reef	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000156.png	coyote	6.94692	dhole	schooner	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000157.png	red_fox	7.64672	red_fox	half_track	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000161.png	Irish_setter	4.66839	Airedale	fireboat	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000170.png	toy_terrier	5.27975	toy_terrier	sandbar	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000172.png	English_setter	8.37105	English_setter	grille	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000174.png	Great_Pyrenees	6.37562	kuvasz	dogsled	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000176.png	miniature_schnauzer	8.88566	Scotch_terrier	potpie	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000177.png	red-backed_sandpiper	8.59186	red-backed_sandpiper	pizza	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000178.png	Eskimo_dog	6.70708	Eskimo_dog	dogsled	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000179.png	sorrel	5.33334	sorrel	horse_cart	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000180.png	Shetland_sheepdog	6.65623	Shetland_sheepdog	refrigerator	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000181.png	skunk	5.03408	Shetland_sheepdog	library	0.01000	densenet-121	efficientnet-b4-advtrain
ILSVRC2012_val_00000186.png	snow_leopard	8.35816	snow_leopard	racer	0.01000	densenet-121	efficientnet-b4-advtrain
