img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	2.06657	American_alligator	sundial	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000003.png	Shetland_sheepdog	11.87195	collie	tennis_ball	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000006.png	garter_snake	1.17139	American_alligator	sundial	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000007.png	porcupine	4.77533	porcupine	park_bench	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000010.png	Angora	0.73744	Pomeranian	teddy	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000011.png	brain_coral	4.56401	brain_coral	coral_reef	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000012.png	cougar	14.26742	cougar	tennis_ball	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000013.png	guenon	16.25976	guenon	window_screen	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000016.png	grey_whale	8.46198	grey_whale	fountain	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000017.png	sea_anemone	0.31053	tarantula	quill	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000018.png	vulture	2.59136	chickadee	nail	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000021.png	porcupine	8.31194	Madagascar_cat	worm_fence	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000022.png	Ibizan_hound	3.01556	Arabian_camel	dogsled	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000025.png	vulture	4.00176	vulture	assault_rifle	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000027.png	white_wolf	13.96415	white_wolf	oxcart	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000028.png	English_foxhound	8.13037	beagle	tennis_ball	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000029.png	green_snake	14.69239	green_snake	sombrero	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000031.png	cabbage_butterfly	0.70093	cabbage_butterfly	pot	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000033.png	sea_lion	9.27855	Komodo_dragon	custard_apple	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000034.png	ballplayer	-3.46718	Staffordshire_bullterrier	assault_rifle	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000037.png	tailed_frog	4.41577	platypus	book_jacket	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000040.png	garden_spider	2.60216	Yorkshire_terrier	spider_web	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000043.png	spoonbill	8.81034	spoonbill	balance_beam	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000044.png	standard_schnauzer	10.89177	cocker_spaniel	teddy	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000045.png	Newfoundland	4.20997	Bouvier_des_Flandres	fur_coat	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000048.png	English_foxhound	1.35447	Cardigan	spindle	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000050.png	sturgeon	-4.11771	Indian_elephant	wool	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000051.png	bee_eater	4.54046	gar	bow	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000052.png	axolotl	9.83340	axolotl	coral_reef	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000055.png	polecat	6.85845	hamster	teddy	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000057.png	Pomeranian	11.93892	Pomeranian	doormat	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000058.png	stinkhorn	9.62508	stinkhorn	mushroom	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	7.96080	Bouvier_des_Flandres	bearskin	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000063.png	jellyfish	-2.25957	tiger_shark	velvet	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000064.png	green_lizard	5.71582	American_chameleon	cardigan	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000066.png	eel	5.27394	eel	coral_reef	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000067.png	tusker	13.68711	tusker	chain_mail	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000072.png	dugong	2.74563	guinea_pig	bath_towel	0.02500	efficientnet-b4	squeezenet
ILSVRC2012_val_00000073.png	kite	1.72760	weasel	dogsled	0.02500	efficientnet-b4	squeezenet
