img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-1.50015	nematode	jigsaw_puzzle	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000003.png	Shetland_sheepdog	1.08322	wire-haired_fox_terrier	stole	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000006.png	garter_snake	-2.64505	clumber	jigsaw_puzzle	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000007.png	porcupine	-1.96329	armadillo	hay	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000010.png	Angora	-2.16010	brain_coral	poncho	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000011.png	brain_coral	0.17533	sea_anemone	coral_reef	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000012.png	cougar	-2.39764	peacock	sock	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000013.png	guenon	10.38165	guenon	mask	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000016.png	grey_whale	-4.25816	box_turtle	jigsaw_puzzle	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000017.png	sea_anemone	0.03171	hog	feather_boa	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000018.png	vulture	0.94838	centipede	nail	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000021.png	porcupine	-1.38317	walking_stick	worm_fence	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000022.png	Ibizan_hound	-2.45614	peacock	jigsaw_puzzle	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000025.png	vulture	-1.26246	skunk	stole	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000027.png	white_wolf	-2.18051	African_chameleon	cardigan	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000028.png	English_foxhound	-2.01705	tailed_frog	jigsaw_puzzle	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000029.png	green_snake	10.64596	green_snake	ear	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000031.png	cabbage_butterfly	-3.70819	triceratops	pot	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000033.png	sea_lion	-4.56275	bullfrog	pot	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000034.png	ballplayer	-5.62985	peacock	jigsaw_puzzle	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000037.png	tailed_frog	-0.12670	African_chameleon	stole	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000040.png	garden_spider	1.76433	guinea_pig	jigsaw_puzzle	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000043.png	spoonbill	-2.32981	African_chameleon	cardigan	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000044.png	standard_schnauzer	9.47277	cairn	tennis_ball	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000045.png	Newfoundland	-4.60091	sea_urchin	stole	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000048.png	English_foxhound	1.00931	brain_coral	stole	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000050.png	sturgeon	-4.96729	tusker	stole	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000051.png	bee_eater	-0.30443	African_chameleon	poncho	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000052.png	axolotl	1.75144	brain_coral	coral_reef	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000055.png	polecat	-1.31406	brain_coral	sock	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000057.png	Pomeranian	10.97219	chow	tennis_ball	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000058.png	stinkhorn	0.57636	African_chameleon	acorn	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	-3.05921	American_alligator	hay	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000063.png	jellyfish	-2.76455	scuba_diver	stole	0.05000	squeezenet	squeezenet
ILSVRC2012_val_00000064.png	green_lizard	-3.01067	green_lizard	sock	0.05000	squeezenet	squeezenet
