img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-0.20692	Komodo_dragon	jigsaw_puzzle	0.10000	resnet50	resnet18
ILSVRC2012_val_00000003.png	Shetland_sheepdog	4.52388	Shetland_sheepdog	manhole_cover	0.10000	resnet50	resnet18
ILSVRC2012_val_00000006.png	garter_snake	-2.22960	centipede	shopping_cart	0.10000	resnet50	resnet18
ILSVRC2012_val_00000007.png	porcupine	-2.40631	peacock	barrel	0.10000	resnet50	resnet18
ILSVRC2012_val_00000010.png	Angora	2.13819	sea_urchin	mask	0.10000	resnet50	resnet18
ILSVRC2012_val_00000011.png	brain_coral	0.43099	brain_coral	coral_reef	0.10000	resnet50	resnet18
ILSVRC2012_val_00000012.png	cougar	6.32913	cougar	window_screen	0.10000	resnet50	resnet18
ILSVRC2012_val_00000013.png	guenon	0.33002	orangutan	jigsaw_puzzle	0.10000	resnet50	resnet18
ILSVRC2012_val_00000016.png	grey_whale	-4.45317	eel	maze	0.10000	resnet50	resnet18
ILSVRC2012_val_00000017.png	sea_anemone	0.30310	brain_coral	coral_reef	0.10000	resnet50	resnet18
ILSVRC2012_val_00000018.png	vulture	6.90336	kite	airship	0.10000	resnet50	resnet18
ILSVRC2012_val_00000021.png	porcupine	5.04934	armadillo	chainlink_fence	0.10000	resnet50	resnet18
ILSVRC2012_val_00000022.png	Ibizan_hound	-0.44293	brain_coral	coral_reef	0.10000	resnet50	resnet18
ILSVRC2012_val_00000025.png	vulture	3.13193	American_alligator	prayer_rug	0.10000	resnet50	resnet18
ILSVRC2012_val_00000027.png	white_wolf	1.81416	Bedlington_terrier	teddy	0.10000	resnet50	resnet18
ILSVRC2012_val_00000028.png	English_foxhound	4.34400	American_Staffordshire_terrier	teddy	0.10000	resnet50	resnet18
ILSVRC2012_val_00000029.png	green_snake	0.88696	night_snake	mitten	0.10000	resnet50	resnet18
ILSVRC2012_val_00000031.png	cabbage_butterfly	-1.24303	starfish	coral_reef	0.10000	resnet50	resnet18
ILSVRC2012_val_00000033.png	sea_lion	-2.22805	spiny_lobster	jigsaw_puzzle	0.10000	resnet50	resnet18
ILSVRC2012_val_00000034.png	ballplayer	-4.45333	American_alligator	jigsaw_puzzle	0.10000	resnet50	resnet18
ILSVRC2012_val_00000037.png	tailed_frog	4.14879	gar	rifle	0.10000	resnet50	resnet18
ILSVRC2012_val_00000040.png	garden_spider	2.91221	cockroach	jigsaw_puzzle	0.10000	resnet50	resnet18
ILSVRC2012_val_00000043.png	spoonbill	5.60491	crane	stole	0.10000	resnet50	resnet18
ILSVRC2012_val_00000044.png	standard_schnauzer	0.87973	brain_coral	jigsaw_puzzle	0.10000	resnet50	resnet18
ILSVRC2012_val_00000045.png	Newfoundland	-2.10274	gorilla	stole	0.10000	resnet50	resnet18
ILSVRC2012_val_00000048.png	English_foxhound	-0.25692	chow	jigsaw_puzzle	0.10000	resnet50	resnet18
ILSVRC2012_val_00000050.png	sturgeon	-3.30913	coho	sarong	0.10000	resnet50	resnet18
ILSVRC2012_val_00000051.png	bee_eater	0.60936	hammerhead	jigsaw_puzzle	0.10000	resnet50	resnet18
ILSVRC2012_val_00000052.png	axolotl	4.19712	axolotl	coral_reef	0.10000	resnet50	resnet18
ILSVRC2012_val_00000055.png	polecat	3.54824	brain_coral	piggy_bank	0.10000	resnet50	resnet18
ILSVRC2012_val_00000057.png	Pomeranian	0.11770	Persian_cat	jigsaw_puzzle	0.10000	resnet50	resnet18
ILSVRC2012_val_00000058.png	stinkhorn	2.99142	starfish	coral_reef	0.10000	resnet50	resnet18
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	2.94320	groenendael	stole	0.10000	resnet50	resnet18
ILSVRC2012_val_00000063.png	jellyfish	-0.29149	brain_coral	poncho	0.10000	resnet50	resnet18
ILSVRC2012_val_00000064.png	green_lizard	1.30826	starfish	coral_reef	0.10000	resnet50	resnet18
ILSVRC2012_val_00000066.png	eel	5.40208	eel	coral_reef	0.10000	resnet50	resnet18
ILSVRC2012_val_00000067.png	tusker	12.15259	tusker	teddy	0.10000	resnet50	resnet18
ILSVRC2012_val_00000072.png	dugong	4.22309	eel	clog	0.10000	resnet50	resnet18
ILSVRC2012_val_00000073.png	kite	2.47156	puffer	acorn	0.10000	resnet50	resnet18
ILSVRC2012_val_00000075.png	black_grouse	12.35378	black_grouse	wine_bottle	0.10000	resnet50	resnet18
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	2.76993	Irish_terrier	gasmask	0.10000	resnet50	resnet18
ILSVRC2012_val_00000078.png	African_hunting_dog	4.46264	African_hunting_dog	apiary	0.10000	resnet50	resnet18
ILSVRC2012_val_00000079.png	otterhound	4.31531	lion	stole	0.10000	resnet50	resnet18
ILSVRC2012_val_00000082.png	Afghan_hound	0.74250	baboon	poncho	0.10000	resnet50	resnet18
ILSVRC2012_val_00000084.png	water_snake	-0.66542	rhinoceros_beetle	spider_web	0.10000	resnet50	resnet18
ILSVRC2012_val_00000087.png	siamang	-0.80709	eel	coral_reef	0.10000	resnet50	resnet18
ILSVRC2012_val_00000088.png	spotted_salamander	3.01065	crayfish	spider_web	0.10000	resnet50	resnet18
ILSVRC2012_val_00000090.png	American_alligator	1.76899	crayfish	spider_web	0.10000	resnet50	resnet18
ILSVRC2012_val_00000091.png	white_wolf	-0.39294	conch	jigsaw_puzzle	0.10000	resnet50	resnet18
ILSVRC2012_val_00000092.png	Madagascar_cat	6.31053	Madagascar_cat	apiary	0.10000	resnet50	resnet18
ILSVRC2012_val_00000093.png	gorilla	1.61485	snow_leopard	mask	0.10000	resnet50	resnet18
ILSVRC2012_val_00000095.png	macaque	1.75534	macaque	jigsaw_puzzle	0.10000	resnet50	resnet18
ILSVRC2012_val_00000097.png	wood_rabbit	1.89732	sea_cucumber	doormat	0.10000	resnet50	resnet18
ILSVRC2012_val_00000098.png	dowitcher	2.37549	armadillo	barrow	0.10000	resnet50	resnet18
ILSVRC2012_val_00000100.png	bighorn	-1.70248	brain_coral	jigsaw_puzzle	0.10000	resnet50	resnet18
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	4.68416	Chesapeake_Bay_retriever	bath_towel	0.10000	resnet50	resnet18
ILSVRC2012_val_00000105.png	silky_terrier	-0.47509	peacock	stole	0.10000	resnet50	resnet18
ILSVRC2012_val_00000107.png	harvestman	2.54667	harvestman	spider_web	0.10000	resnet50	resnet18
ILSVRC2012_val_00000111.png	American_lobster	-2.48632	brain_coral	jigsaw_puzzle	0.10000	resnet50	resnet18
ILSVRC2012_val_00000113.png	kelpie	5.19161	Staffordshire_bullterrier	muzzle	0.10000	resnet50	resnet18
ILSVRC2012_val_00000115.png	Ibizan_hound	0.75309	basenji	pencil_box	0.10000	resnet50	resnet18
ILSVRC2012_val_00000124.png	rock_beauty	-0.81160	sea_urchin	jackfruit	0.10000	resnet50	resnet18
ILSVRC2012_val_00000125.png	grasshopper	-2.82132	ant	hip	0.10000	resnet50	resnet18
