img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	6.50683	water_snake	sandbar	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000003.png	Shetland_sheepdog	8.75765	Shetland_sheepdog	crutch	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000006.png	garter_snake	10.48166	sidewinder	worm_fence	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000007.png	porcupine	10.56747	porcupine	quill	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000010.png	Angora	4.27435	Persian_cat	mosquito_net	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000011.png	brain_coral	5.89119	brain_coral	coral_reef	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000012.png	cougar	12.28243	cougar	solar_dish	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000013.png	guenon	10.57461	guenon	frying_pan	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000016.png	grey_whale	22.85471	grey_whale	zucchini	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000017.png	sea_anemone	8.37819	starfish	coral_reef	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000018.png	vulture	7.59117	black_stork	parachute	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000021.png	porcupine	9.59953	marmoset	hard_disc	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000022.png	Ibizan_hound	5.81663	Saluki	muzzle	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000025.png	vulture	17.43214	vulture	amphibian	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000027.png	white_wolf	16.61765	white_wolf	dogsled	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000028.png	English_foxhound	5.06957	Walker_hound	soccer_ball	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000029.png	green_snake	10.49099	green_snake	washer	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000031.png	cabbage_butterfly	14.04820	cabbage_butterfly	birdhouse	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000033.png	sea_lion	5.62576	sea_lion	wreck	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000034.png	ballplayer	-3.84371	sturgeon	military_uniform	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000037.png	tailed_frog	7.02310	platypus	frying_pan	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000040.png	garden_spider	4.75620	garden_spider	spider_web	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000043.png	spoonbill	10.66490	spoonbill	golf_ball	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000044.png	standard_schnauzer	8.73108	standard_schnauzer	scale	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000045.png	Newfoundland	11.36027	Newfoundland	ice_lolly	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000048.png	English_foxhound	8.39913	beagle	tennis_ball	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000050.png	sturgeon	-1.71916	coho	butcher_shop	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000051.png	bee_eater	12.79460	bee_eater	quill	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000052.png	axolotl	17.27714	axolotl	microwave	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000055.png	polecat	5.48983	black-footed_ferret	bassinet	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000057.png	Pomeranian	6.67573	Pomeranian	muzzle	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000058.png	stinkhorn	13.19435	stinkhorn	mushroom	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	6.75105	Kerry_blue_terrier	jeep	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000063.png	jellyfish	2.99922	tiger_shark	stage	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000064.png	green_lizard	10.96129	green_lizard	printer	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000066.png	eel	9.76634	eel	coral_reef	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000067.png	tusker	12.46231	tusker	mushroom	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000072.png	dugong	16.16159	dugong	snorkel	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000073.png	kite	13.00094	kite	birdhouse	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000075.png	black_grouse	14.15315	black_grouse	joystick	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	6.48900	Rhodesian_ridgeback	muzzle	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000078.png	African_hunting_dog	9.79432	African_hunting_dog	drum	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000079.png	otterhound	10.84376	otterhound	Crock_Pot	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000082.png	Afghan_hound	17.20849	Afghan_hound	cloak	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000084.png	water_snake	4.23408	water_snake	spider_web	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000087.png	siamang	9.50129	capuchin	chime	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000088.png	spotted_salamander	12.06329	spotted_salamander	flute	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000090.png	American_alligator	10.26692	American_alligator	fountain	0.01000	efficientnet-b4	wide_resnet50_2
ILSVRC2012_val_00000091.png	white_wolf	14.07629	white_wolf	dogsled	0.01000	efficientnet-b4	wide_resnet50_2
