img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	5.67867	water_snake	worm_fence	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000003.png	Shetland_sheepdog	6.76664	Shetland_sheepdog	switch	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000006.png	garter_snake	6.02194	water_snake	knot	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000007.png	porcupine	5.87838	porcupine	quill	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000010.png	Angora	-0.26534	hog	teddy	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000011.png	brain_coral	5.20719	brain_coral	jackfruit	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000012.png	cougar	6.55075	cougar	rule	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000013.png	guenon	6.35281	guenon	bicycle-built-for-two	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000016.png	grey_whale	6.02291	grey_whale	velvet	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000017.png	sea_anemone	2.99353	sea_anemone	jack-o'-lantern	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000018.png	vulture	5.55247	vulture	spatula	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000021.png	porcupine	3.82455	mongoose	hip	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000022.png	Ibizan_hound	3.24548	English_foxhound	dogsled	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000025.png	vulture	6.17824	vulture	strawberry	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000027.png	white_wolf	6.89609	white_wolf	trombone	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000028.png	English_foxhound	4.59729	English_foxhound	crane	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000029.png	green_snake	6.14549	green_snake	cucumber	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000031.png	cabbage_butterfly	6.00778	cabbage_butterfly	head_cabbage	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000033.png	sea_lion	1.67195	otter	mask	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000034.png	ballplayer	-3.52838	ballplayer	military_uniform	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000037.png	tailed_frog	-1.41008	axolotl	maraca	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000040.png	garden_spider	5.78081	tick	hip	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000043.png	spoonbill	5.37573	spoonbill	mailbox	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000044.png	standard_schnauzer	5.09804	miniature_schnauzer	yawl	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000045.png	Newfoundland	7.33760	Newfoundland	handkerchief	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000048.png	English_foxhound	4.65646	Cardigan	tennis_ball	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000050.png	sturgeon	-1.14724	crayfish	vestment	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000051.png	bee_eater	2.44497	bee_eater	spider_web	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000052.png	axolotl	7.39511	axolotl	assault_rifle	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000055.png	polecat	3.99037	black-footed_ferret	nipple	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000057.png	Pomeranian	5.29491	Pomeranian	hotdog	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000058.png	stinkhorn	5.91491	stinkhorn	yawl	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	5.17443	Scottish_deerhound	brassiere	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000063.png	jellyfish	-1.11061	tiger_shark	cloak	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000064.png	green_lizard	6.63729	green_lizard	cab	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000066.png	eel	7.06515	eel	parking_meter	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000067.png	tusker	8.16185	tusker	medicine_chest	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000072.png	dugong	2.93562	dugong	dough	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000073.png	kite	4.03483	wire-haired_fox_terrier	parachute	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000075.png	black_grouse	7.13572	black_grouse	chiffonier	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	3.62779	golden_retriever	rubber_eraser	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000078.png	African_hunting_dog	7.02463	African_hunting_dog	hot_pot	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000079.png	otterhound	7.23419	otterhound	maillot	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000082.png	Afghan_hound	7.66019	Afghan_hound	pickup	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000084.png	water_snake	5.36783	slug	acorn	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000087.png	siamang	6.28536	capuchin	swimming_trunks	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000088.png	spotted_salamander	7.32077	spotted_salamander	hand-held_computer	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000090.png	American_alligator	7.13664	American_alligator	binder	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000091.png	white_wolf	6.89665	kuvasz	dogsled	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000092.png	Madagascar_cat	5.24179	Madagascar_cat	overskirt	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000093.png	gorilla	4.03064	lion	stage	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000095.png	macaque	6.17306	macaque	letter_opener	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000097.png	wood_rabbit	6.17584	wood_rabbit	hay	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000098.png	dowitcher	6.89885	dowitcher	acorn	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000100.png	bighorn	-0.97455	marmot	maze	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	6.17448	Rhodesian_ridgeback	tile_roof	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000105.png	silky_terrier	-2.00886	silky_terrier	broccoli	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000107.png	harvestman	5.56590	harvestman	spider_web	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000111.png	American_lobster	0.56808	American_lobster	bib	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000113.png	kelpie	6.69338	kelpie	bottlecap	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000115.png	Ibizan_hound	3.50054	beagle	carton	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000124.png	rock_beauty	1.56278	puffer	dough	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000125.png	grasshopper	0.11946	cricket	hip	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000127.png	impala	4.79406	impala	maze	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000128.png	bald_eagle	6.63310	kite	whistle	0.05000	resnext50_32x4d	efficientnet-b4
ILSVRC2012_val_00000130.png	Persian_cat	6.68749	Persian_cat	teddy	0.05000	resnext50_32x4d	efficientnet-b4
