img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	4.86289	water_snake	seashore	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000003.png	Shetland_sheepdog	7.76997	Shetland_sheepdog	turnstile	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000006.png	garter_snake	4.85809	garter_snake	worm_fence	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000007.png	porcupine	7.15271	porcupine	Petri_dish	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000010.png	Angora	-0.52733	Angora	wool	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000011.png	brain_coral	5.66167	brain_coral	coral_reef	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000012.png	cougar	7.76803	cougar	feather_boa	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000013.png	guenon	5.71176	guenon	dam	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000016.png	grey_whale	6.40820	grey_whale	volcano	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000017.png	sea_anemone	4.82499	starfish	umbrella	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000018.png	vulture	6.97784	vulture	parachute	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000021.png	porcupine	5.08498	wallaby	hip	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000022.png	Ibizan_hound	3.20094	Weimaraner	maypole	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000025.png	vulture	7.02773	vulture	valley	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000027.png	white_wolf	7.84040	white_wolf	lakeside	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000028.png	English_foxhound	5.42703	English_foxhound	soccer_ball	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000029.png	green_snake	5.53227	green_snake	coil	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000031.png	cabbage_butterfly	6.67046	cabbage_butterfly	head_cabbage	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000033.png	sea_lion	6.67693	sea_lion	trifle	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000034.png	ballplayer	0.69500	ballplayer	military_uniform	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000037.png	tailed_frog	-1.14460	snail	maraca	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000040.png	garden_spider	2.97629	bee	hip	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000043.png	spoonbill	6.91533	spoonbill	barrow	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000044.png	standard_schnauzer	7.14735	miniature_schnauzer	apron	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000045.png	Newfoundland	8.30450	Newfoundland	sundial	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000048.png	English_foxhound	5.29407	Cardigan	bonnet	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000050.png	sturgeon	-2.72424	barracouta	butcher_shop	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000051.png	bee_eater	6.55576	bee_eater	coral_reef	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000052.png	axolotl	7.33029	axolotl	sunglasses	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000055.png	polecat	4.93216	polecat	nipple	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000057.png	Pomeranian	5.52998	Pomeranian	tennis_ball	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000058.png	stinkhorn	6.66569	stinkhorn	mushroom	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	6.18560	curly-coated_retriever	dam	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000063.png	jellyfish	0.61463	electric_ray	brassiere	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000064.png	green_lizard	5.88460	American_chameleon	cucumber	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000066.png	eel	6.09150	eel	mailbag	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000067.png	tusker	7.61717	tusker	chain_mail	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000072.png	dugong	4.87482	dugong	sweatshirt	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000073.png	kite	5.49355	goose	cliff	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
ILSVRC2012_val_00000075.png	black_grouse	7.51554	black_grouse	steam_locomotive	0.05000	wide_resnet50_2	efficientnet-b4-advtrain
