img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-19.19817	trilobite	manhole_cover	9.99878	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000003.png	Shetland_sheepdog	-17.78908	triceratops	manhole_cover	9.99065	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000006.png	garter_snake	-27.11543	brain_coral	manhole_cover	9.99984	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000007.png	porcupine	-31.48417	guinea_pig	barrel	9.99683	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000010.png	Angora	-13.67790	boa_constrictor	bagel	9.99997	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000011.png	brain_coral	-28.19377	brain_coral	jackfruit	9.99882	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000012.png	cougar	-9.87173	walking_stick	window_screen	9.99531	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000013.png	guenon	-10.82550	guenon	milk_can	9.97112	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000016.png	grey_whale	-34.11289	tarantula	maze	9.98011	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000017.png	sea_anemone	-31.16144	black_widow	fire_screen	9.97734	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000018.png	vulture	-23.28781	tick	airship	9.99616	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000021.png	porcupine	-25.53230	house_finch	chainlink_fence	9.97693	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000022.png	Ibizan_hound	-20.61491	coho	military_uniform	10.00000	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000025.png	vulture	-27.15469	warthog	park_bench	9.97715	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000027.png	white_wolf	-25.40780	koala	barrow	9.99641	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000028.png	English_foxhound	-20.25590	toy_terrier	tennis_ball	9.99709	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000029.png	green_snake	-22.38927	vine_snake	sombrero	9.97863	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000031.png	cabbage_butterfly	-17.58788	American_chameleon	picket_fence	9.99986	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000033.png	sea_lion	-31.81740	brain_coral	maze	9.99034	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000034.png	ballplayer	-39.24770	grasshopper	shopping_cart	9.96373	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000037.png	tailed_frog	-22.75510	ballplayer	assault_rifle	10.00000	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000040.png	garden_spider	-19.22167	ballplayer	jigsaw_puzzle	9.96174	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000043.png	spoonbill	-24.59738	collie	doormat	9.99998	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000044.png	standard_schnauzer	-25.88143	Chihuahua	maze	9.99981	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000045.png	Newfoundland	-22.99703	Norfolk_terrier	mitten	9.99982	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000048.png	English_foxhound	-9.87392	Siamese_cat	jigsaw_puzzle	9.98343	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000050.png	sturgeon	-24.89744	barracouta	cloak	9.98969	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000051.png	bee_eater	-12.82945	dragonfly	wing	9.99953	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000052.png	axolotl	-3.35892	axolotl	coral_reef	9.99990	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000055.png	polecat	-11.20428	hamster	teddy	9.99946	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000057.png	Pomeranian	-11.41096	tabby	jigsaw_puzzle	9.99996	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000058.png	stinkhorn	-28.20945	green_snake	broccoli	9.99654	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	-20.29462	jellyfish	fountain	9.99989	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000063.png	jellyfish	-20.20649	Komodo_dragon	poncho	9.99696	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000064.png	green_lizard	-15.84598	groom	fountain	9.99983	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000066.png	eel	-21.54752	Appenzeller	broccoli	9.99830	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000067.png	tusker	-17.37553	rock_python	chain	9.96498	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000072.png	dugong	-19.26095	sea_lion	Loafer	9.99950	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000073.png	kite	-18.48128	vulture	jigsaw_puzzle	9.98506	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000075.png	black_grouse	-17.10768	vulture	joystick	9.97028	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	-23.94476	malinois	muzzle	9.99284	resnet18.noise-035.00	resnet18
ILSVRC2012_val_00000078.png	African_hunting_dog	-24.68062	ram	safety_pin	9.99975	resnet18.noise-035.00	resnet18
