img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-1.21534	sea_snake	bubble	10.00000	resnet50	densenet-121
ILSVRC2012_val_00000003.png	Shetland_sheepdog	4.66156	Shetland_sheepdog	bubble	10.00000	resnet50	densenet-121
ILSVRC2012_val_00000006.png	garter_snake	-0.77444	sea_snake	knot	10.00000	resnet50	densenet-121
ILSVRC2012_val_00000007.png	porcupine	5.66932	porcupine	quill	9.99935	resnet50	densenet-121
ILSVRC2012_val_00000010.png	Angora	-0.83173	Maltese_dog	lemon	9.75954	resnet50	densenet-121
ILSVRC2012_val_00000011.png	brain_coral	10.87196	brain_coral	maze	0.00000	resnet50	densenet-121
ILSVRC2012_val_00000012.png	cougar	15.67737	cougar	bow_tie	0.00000	resnet50	densenet-121
ILSVRC2012_val_00000013.png	guenon	13.06886	guenon	jean	0.00000	resnet50	densenet-121
ILSVRC2012_val_00000016.png	grey_whale	3.63503	grey_whale	bubble	9.97876	resnet50	densenet-121
ILSVRC2012_val_00000017.png	sea_anemone	6.52350	goldfish	coral_reef	9.98907	resnet50	densenet-121
ILSVRC2012_val_00000018.png	vulture	9.90037	kite	warplane	0.00000	resnet50	densenet-121
ILSVRC2012_val_00000021.png	porcupine	4.12716	crane	cardoon	10.00000	resnet50	densenet-121
ILSVRC2012_val_00000022.png	Ibizan_hound	2.43683	Saluki	dogsled	9.98747	resnet50	densenet-121
ILSVRC2012_val_00000025.png	vulture	17.32159	vulture	worm_fence	0.00000	resnet50	densenet-121
ILSVRC2012_val_00000027.png	white_wolf	13.95320	white_wolf	dogsled	0.00000	resnet50	densenet-121
ILSVRC2012_val_00000028.png	English_foxhound	3.17187	Walker_hound	tennis_ball	10.00000	resnet50	densenet-121
ILSVRC2012_val_00000029.png	green_snake	9.18105	green_snake	cucumber	0.00000	resnet50	densenet-121
ILSVRC2012_val_00000031.png	cabbage_butterfly	15.99426	cabbage_butterfly	cardoon	0.00000	resnet50	densenet-121
ILSVRC2012_val_00000033.png	sea_lion	-0.99741	otter	piggy_bank	9.94993	resnet50	densenet-121
ILSVRC2012_val_00000034.png	ballplayer	-2.19147	ballplayer	unicycle	9.53151	resnet50	densenet-121
ILSVRC2012_val_00000037.png	tailed_frog	1.90808	leaf_beetle	bubble	9.93722	resnet50	densenet-121
ILSVRC2012_val_00000040.png	garden_spider	4.42293	garden_spider	spider_web	0.00000	resnet50	densenet-121
ILSVRC2012_val_00000043.png	spoonbill	18.75057	spoonbill	unicycle	0.00000	resnet50	densenet-121
ILSVRC2012_val_00000044.png	standard_schnauzer	14.59303	standard_schnauzer	digital_clock	0.00000	resnet50	densenet-121
ILSVRC2012_val_00000045.png	Newfoundland	7.39288	Newfoundland	carousel	9.90265	resnet50	densenet-121
ILSVRC2012_val_00000048.png	English_foxhound	-1.91466	American_Staffordshire_terrier	bubble	9.81265	resnet50	densenet-121
ILSVRC2012_val_00000050.png	sturgeon	1.63496	barracouta	stole	9.75636	resnet50	densenet-121
ILSVRC2012_val_00000051.png	bee_eater	7.82268	bee_eater	pinwheel	0.00000	resnet50	densenet-121
ILSVRC2012_val_00000052.png	axolotl	19.83678	axolotl	corn	0.00000	resnet50	densenet-121
