img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	4.97744	sea_snake	worm_fence	9.93448	resnet18	efficientnet-b4
ILSVRC2012_val_00000003.png	Shetland_sheepdog	6.74127	Shetland_sheepdog	canoe	0.00000	resnet18	efficientnet-b4
ILSVRC2012_val_00000006.png	garter_snake	4.56537	water_snake	vacuum	9.99532	resnet18	efficientnet-b4
ILSVRC2012_val_00000007.png	porcupine	6.65001	porcupine	seashore	9.99815	resnet18	efficientnet-b4
ILSVRC2012_val_00000010.png	Angora	4.34507	Angora	custard_apple	9.65837	resnet18	efficientnet-b4
ILSVRC2012_val_00000011.png	brain_coral	5.40516	brain_coral	coral_reef	0.00000	resnet18	efficientnet-b4
ILSVRC2012_val_00000012.png	cougar	6.60106	cougar	rule	0.00000	resnet18	efficientnet-b4
ILSVRC2012_val_00000013.png	guenon	6.74085	guenon	magnetic_compass	0.00000	resnet18	efficientnet-b4
ILSVRC2012_val_00000016.png	grey_whale	7.06991	grey_whale	velvet	9.98611	resnet18	efficientnet-b4
ILSVRC2012_val_00000017.png	sea_anemone	2.07689	sea_anemone	coral_reef	9.98517	resnet18	efficientnet-b4
ILSVRC2012_val_00000018.png	vulture	5.80808	black_stork	spatula	10.00000	resnet18	efficientnet-b4
ILSVRC2012_val_00000021.png	porcupine	5.74051	porcupine	hip	10.00000	resnet18	efficientnet-b4
ILSVRC2012_val_00000022.png	Ibizan_hound	3.90450	German_short-haired_pointer	stretcher	9.96690	resnet18	efficientnet-b4
ILSVRC2012_val_00000025.png	vulture	5.74030	vulture	balloon	10.00000	resnet18	efficientnet-b4
ILSVRC2012_val_00000027.png	white_wolf	6.57187	white_wolf	puck	0.00000	resnet18	efficientnet-b4
ILSVRC2012_val_00000028.png	English_foxhound	6.64307	Walker_hound	crane	9.99339	resnet18	efficientnet-b4
ILSVRC2012_val_00000029.png	green_snake	6.54236	green_snake	coffee_mug	0.00000	resnet18	efficientnet-b4
ILSVRC2012_val_00000031.png	cabbage_butterfly	4.15222	sulphur_butterfly	head_cabbage	9.99724	resnet18	efficientnet-b4
ILSVRC2012_val_00000033.png	sea_lion	1.60428	otter	candle	9.88343	resnet18	efficientnet-b4
ILSVRC2012_val_00000034.png	ballplayer	-2.48161	ballplayer	bulletproof_vest	9.53151	resnet18	efficientnet-b4
ILSVRC2012_val_00000037.png	tailed_frog	5.09541	common_newt	hip	9.98148	resnet18	efficientnet-b4
ILSVRC2012_val_00000040.png	garden_spider	1.94651	tick	hip	9.97894	resnet18	efficientnet-b4
ILSVRC2012_val_00000043.png	spoonbill	4.80182	spoonbill	rugby_ball	0.00000	resnet18	efficientnet-b4
ILSVRC2012_val_00000044.png	standard_schnauzer	7.34834	standard_schnauzer	lumbermill	0.00000	resnet18	efficientnet-b4
ILSVRC2012_val_00000045.png	Newfoundland	6.47473	Newfoundland	brass	9.97507	resnet18	efficientnet-b4
ILSVRC2012_val_00000048.png	English_foxhound	6.37564	Walker_hound	muzzle	9.81265	resnet18	efficientnet-b4
ILSVRC2012_val_00000050.png	sturgeon	0.77888	barracouta	packet	9.89481	resnet18	efficientnet-b4
ILSVRC2012_val_00000051.png	bee_eater	7.38432	bee_eater	coral_reef	10.00000	resnet18	efficientnet-b4
ILSVRC2012_val_00000052.png	axolotl	7.80032	axolotl	assault_rifle	0.00000	resnet18	efficientnet-b4
ILSVRC2012_val_00000055.png	polecat	5.81563	polecat	nipple	9.99598	resnet18	efficientnet-b4
ILSVRC2012_val_00000057.png	Pomeranian	5.06816	Pekinese	hotdog	0.00000	resnet18	efficientnet-b4
ILSVRC2012_val_00000058.png	stinkhorn	5.10443	stinkhorn	yawl	9.98623	resnet18	efficientnet-b4
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	5.18981	Irish_water_spaniel	pickup	9.98232	resnet18	efficientnet-b4
ILSVRC2012_val_00000063.png	jellyfish	-1.98076	jellyfish	bubble	9.47447	resnet18	efficientnet-b4
ILSVRC2012_val_00000064.png	green_lizard	6.27260	green_lizard	passenger_car	0.00000	resnet18	efficientnet-b4
ILSVRC2012_val_00000066.png	eel	6.77466	eel	mailbag	0.00000	resnet18	efficientnet-b4
ILSVRC2012_val_00000067.png	tusker	7.89350	tusker	lotion	0.00000	resnet18	efficientnet-b4
ILSVRC2012_val_00000072.png	dugong	7.97363	dugong	projectile	9.99369	resnet18	efficientnet-b4
ILSVRC2012_val_00000073.png	kite	4.32746	kite	stage	10.00000	resnet18	efficientnet-b4
ILSVRC2012_val_00000075.png	black_grouse	6.79780	black_grouse	chiffonier	0.00000	resnet18	efficientnet-b4
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	7.45994	Rhodesian_ridgeback	face_powder	0.00000	resnet18	efficientnet-b4
ILSVRC2012_val_00000078.png	African_hunting_dog	5.53277	African_hunting_dog	dogsled	10.00000	resnet18	efficientnet-b4
ILSVRC2012_val_00000079.png	otterhound	7.83374	otterhound	meat_loaf	9.90156	resnet18	efficientnet-b4
ILSVRC2012_val_00000082.png	Afghan_hound	7.52903	Afghan_hound	maypole	9.99419	resnet18	efficientnet-b4
