img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-2.20533	peacock	window_shade	0.05000	efficientnet-b0	squeezenet
ILSVRC2012_val_00000003.png	Shetland_sheepdog	14.47757	collie	tennis_ball	0.00000	efficientnet-b0	squeezenet
ILSVRC2012_val_00000006.png	garter_snake	0.38574	American_alligator	shopping_cart	0.05000	efficientnet-b0	squeezenet
ILSVRC2012_val_00000007.png	porcupine	-0.37383	porcupine	wool	0.05000	efficientnet-b0	squeezenet
ILSVRC2012_val_00000010.png	Angora	-2.05882	axolotl	theater_curtain	0.05000	efficientnet-b0	squeezenet
ILSVRC2012_val_00000011.png	brain_coral	6.95941	brain_coral	coral_reef	0.00000	efficientnet-b0	squeezenet
ILSVRC2012_val_00000012.png	cougar	16.01026	cougar	tennis_ball	0.00000	efficientnet-b0	squeezenet
ILSVRC2012_val_00000013.png	guenon	19.46649	guenon	window_screen	0.00000	efficientnet-b0	squeezenet
ILSVRC2012_val_00000016.png	grey_whale	-2.45238	grey_whale	fountain	0.05000	efficientnet-b0	squeezenet
ILSVRC2012_val_00000017.png	sea_anemone	-2.88072	crane	barn	0.05000	efficientnet-b0	squeezenet
ILSVRC2012_val_00000018.png	vulture	-1.03320	bulbul	nail	0.05000	efficientnet-b0	squeezenet
ILSVRC2012_val_00000021.png	porcupine	3.28177	porcupine	swing	0.05000	efficientnet-b0	squeezenet
ILSVRC2012_val_00000022.png	Ibizan_hound	2.25331	Arabian_camel	unicycle	0.05000	efficientnet-b0	squeezenet
ILSVRC2012_val_00000025.png	vulture	12.47072	vulture	worm_fence	0.00000	efficientnet-b0	squeezenet
ILSVRC2012_val_00000027.png	white_wolf	15.85955	white_wolf	oxcart	0.00000	efficientnet-b0	squeezenet
ILSVRC2012_val_00000028.png	English_foxhound	9.45009	beagle	tennis_ball	0.00000	efficientnet-b0	squeezenet
ILSVRC2012_val_00000029.png	green_snake	18.14729	green_snake	ear	0.00000	efficientnet-b0	squeezenet
ILSVRC2012_val_00000031.png	cabbage_butterfly	-0.21025	cabbage_butterfly	picket_fence	0.05000	efficientnet-b0	squeezenet
ILSVRC2012_val_00000033.png	sea_lion	-1.72322	otter	fountain	0.05000	efficientnet-b0	squeezenet
