img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	2.60221	rock_python	worm_fence	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000003.png	Shetland_sheepdog	11.64686	Shetland_sheepdog	croquet_ball	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000006.png	garter_snake	3.29073	garter_snake	worm_fence	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000007.png	porcupine	11.79520	porcupine	quill	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000010.png	Angora	-3.06607	English_setter	carousel	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000011.png	brain_coral	6.44881	brain_coral	jackfruit	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000012.png	cougar	15.28266	cougar	pineapple	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000013.png	guenon	12.26246	guenon	jean	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000016.png	grey_whale	6.28368	grey_whale	volcano	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000017.png	sea_anemone	-0.83995	sea_anemone	altar	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000018.png	vulture	6.95753	kite	paintbrush	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000021.png	porcupine	19.60016	porcupine	mousetrap	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000022.png	Ibizan_hound	5.98356	Ibizan_hound	muzzle	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000025.png	vulture	14.47198	vulture	crate	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000027.png	white_wolf	12.35986	white_wolf	quilt	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000028.png	English_foxhound	4.69597	beagle	tennis_ball	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000029.png	green_snake	9.73163	green_snake	custard_apple	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000031.png	cabbage_butterfly	4.87031	cabbage_butterfly	harp	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000033.png	sea_lion	0.19064	sea_lion	jigsaw_puzzle	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000034.png	ballplayer	-0.89423	ballplayer	military_uniform	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000037.png	tailed_frog	-0.22991	American_alligator	reel	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000040.png	garden_spider	3.62900	garden_spider	spider_web	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000043.png	spoonbill	13.41964	spoonbill	lakeside	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000044.png	standard_schnauzer	15.52042	standard_schnauzer	muzzle	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000045.png	Newfoundland	-2.67626	llama	sleeping_bag	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000048.png	English_foxhound	-0.55734	Cardigan	paintbrush	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000050.png	sturgeon	-2.80251	gar	butcher_shop	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000051.png	bee_eater	8.37658	bee_eater	quill	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000052.png	axolotl	11.94990	axolotl	toyshop	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000055.png	polecat	-4.61331	polecat	quilt	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000057.png	Pomeranian	10.23773	Pekinese	caldron	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000058.png	stinkhorn	9.79580	stinkhorn	mushroom	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	9.04249	standard_poodle	muzzle	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000063.png	jellyfish	-1.59410	jellyfish	theater_curtain	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000064.png	green_lizard	8.43733	green_lizard	whistle	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000066.png	eel	11.33954	eel	coral_reef	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000067.png	tusker	16.73315	tusker	oil_filter	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000072.png	dugong	4.58345	dugong	mortar	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000073.png	kite	3.19392	hummingbird	lampshade	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000075.png	black_grouse	12.96582	black_grouse	worm_fence	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	10.80989	Rhodesian_ridgeback	muzzle	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000078.png	African_hunting_dog	9.04875	African_hunting_dog	mailbox	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000079.png	otterhound	11.41495	otterhound	tennis_ball	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000082.png	Afghan_hound	14.68939	Afghan_hound	cloak	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000084.png	water_snake	2.40517	European_fire_salamander	spider_web	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000087.png	siamang	5.22195	siamang	prison	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000088.png	spotted_salamander	8.54748	spotted_salamander	fountain	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000090.png	American_alligator	15.15667	American_alligator	running_shoe	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000091.png	white_wolf	16.01977	white_wolf	dogsled	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000092.png	Madagascar_cat	15.11313	indri	corkscrew	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000093.png	gorilla	12.28523	gorilla	bulletproof_vest	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000095.png	macaque	12.34575	macaque	fur_coat	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000097.png	wood_rabbit	11.07085	wood_rabbit	tractor	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000098.png	dowitcher	13.06884	dowitcher	screwdriver	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000100.png	bighorn	4.50465	bighorn	maze	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	3.04122	Rhodesian_ridgeback	muzzle	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000105.png	silky_terrier	2.10253	silky_terrier	wig	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000107.png	harvestman	4.71044	harvestman	maypole	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000111.png	American_lobster	9.65937	American_lobster	plate	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000113.png	kelpie	10.56067	kelpie	tennis_ball	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000115.png	Ibizan_hound	8.32321	Ibizan_hound	window_screen	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000124.png	rock_beauty	-2.42112	puffer	shower_cap	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000125.png	grasshopper	4.48799	cricket	hip	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000127.png	impala	7.27251	impala	barrow	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000128.png	bald_eagle	8.30757	vulture	pole	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000130.png	Persian_cat	8.70887	Persian_cat	window_screen	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000133.png	hyena	15.12467	hyena	spatula	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000134.png	Doberman	2.46059	Rottweiler	cowboy_hat	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000136.png	warthog	3.74941	armadillo	bonnet	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000138.png	sea_urchin	5.65252	sea_urchin	umbrella	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000141.png	bloodhound	-3.10064	Labrador_retriever	harp	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000142.png	sea_urchin	1.87993	sea_urchin	coral_reef	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000147.png	toy_poodle	9.42703	toy_poodle	teddy	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000153.png	common_iguana	13.25303	common_iguana	quill	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000154.png	sea_slug	5.99584	sea_slug	coral_reef	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000156.png	coyote	13.15381	dhole	muzzle	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000157.png	red_fox	10.72425	red_fox	jigsaw_puzzle	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000161.png	Irish_setter	6.28235	Gordon_setter	tennis_ball	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000170.png	toy_terrier	0.24241	Chihuahua	carousel	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000172.png	English_setter	-0.70285	English_setter	quilt	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000174.png	Great_Pyrenees	12.59860	kuvasz	tennis_ball	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000176.png	miniature_schnauzer	10.79230	Scotch_terrier	safety_pin	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000177.png	red-backed_sandpiper	16.34182	red-backed_sandpiper	ocarina	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000178.png	Eskimo_dog	7.26398	Eskimo_dog	dogsled	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000179.png	sorrel	7.71830	sorrel	horse_cart	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000180.png	Shetland_sheepdog	10.08366	collie	croquet_ball	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000181.png	skunk	-4.96030	skunk	harp	0.05000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000186.png	snow_leopard	16.92834	snow_leopard	fur_coat	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000188.png	coyote	10.32557	coyote	carpenter's_kit	0.00000	efficientnet-b4	resnext50_32x4d
ILSVRC2012_val_00000189.png	platypus	1.54319	platypus	window_screen	0.05000	efficientnet-b4	resnext50_32x4d
