img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	4.07335	water_snake	chain	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000003.png	Shetland_sheepdog	11.46621	Shetland_sheepdog	toilet_tissue	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000006.png	garter_snake	0.60628	diamondback	doormat	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000007.png	porcupine	0.94670	porcupine	prayer_rug	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000010.png	Angora	-3.30006	golden_retriever	harp	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000011.png	brain_coral	7.39820	brain_coral	coral_reef	0.00000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000012.png	cougar	15.28266	cougar	pineapple	0.00000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000013.png	guenon	2.37194	guenon	jigsaw_puzzle	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000016.png	grey_whale	1.20521	grey_whale	window_screen	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000017.png	sea_anemone	-1.68176	sea_anemone	oboe	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000018.png	vulture	4.54763	kite	envelope	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000021.png	porcupine	8.41336	porcupine	paintbrush	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000022.png	Ibizan_hound	3.71527	Ibizan_hound	oxcart	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000025.png	vulture	8.35782	vulture	worm_fence	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000027.png	white_wolf	12.24658	white_wolf	gown	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000028.png	English_foxhound	4.38643	beagle	bath_towel	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000029.png	green_snake	6.18852	green_snake	confectionery	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000031.png	cabbage_butterfly	5.31492	cabbage_butterfly	harp	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000033.png	sea_lion	-2.99190	otter	jigsaw_puzzle	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000034.png	ballplayer	-0.89423	ballplayer	military_uniform	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000037.png	tailed_frog	0.54623	American_alligator	assault_rifle	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000040.png	garden_spider	2.30223	garden_spider	spider_web	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000043.png	spoonbill	13.41964	spoonbill	lakeside	0.00000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000044.png	standard_schnauzer	10.57719	miniature_schnauzer	studio_couch	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000045.png	Newfoundland	-4.38678	Newfoundland	fur_coat	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000048.png	English_foxhound	1.20658	beagle	muzzle	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000050.png	sturgeon	-0.78190	gar	stole	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000051.png	bee_eater	2.27102	bee_eater	quill	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000052.png	axolotl	11.22980	axolotl	harp	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000055.png	polecat	-2.55873	Italian_greyhound	bow_tie	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000057.png	Pomeranian	10.23773	Pekinese	caldron	0.00000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000058.png	stinkhorn	7.38248	stinkhorn	mushroom	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000062.png	Kerry_blue_terrier	5.23328	curly-coated_retriever	wool	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000063.png	jellyfish	-1.59410	jellyfish	theater_curtain	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000064.png	green_lizard	2.49999	green_lizard	feather_boa	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000066.png	eel	4.32047	eel	coral_reef	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000067.png	tusker	8.50324	tusker	cardigan	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000072.png	dugong	5.43678	dugong	Band_Aid	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000073.png	kite	2.71554	Siamese_cat	window_shade	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000075.png	black_grouse	12.96582	black_grouse	worm_fence	0.00000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000077.png	Rhodesian_ridgeback	9.11308	Rhodesian_ridgeback	fountain	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000078.png	African_hunting_dog	9.09840	African_hunting_dog	steel_drum	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000079.png	otterhound	4.71741	otterhound	quilt	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000082.png	Afghan_hound	5.88559	Afghan_hound	stole	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000084.png	water_snake	3.13704	water_snake	spider_web	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000087.png	siamang	8.35347	siamang	chain	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000088.png	spotted_salamander	1.29993	spotted_salamander	fountain	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000090.png	American_alligator	15.15667	American_alligator	running_shoe	0.00000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000091.png	white_wolf	9.34109	white_wolf	teddy	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000092.png	Madagascar_cat	7.80328	Madagascar_cat	comic_book	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000093.png	gorilla	5.97904	gorilla	muzzle	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000095.png	macaque	10.83787	macaque	fur_coat	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000097.png	wood_rabbit	4.21412	hare	confectionery	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000098.png	dowitcher	0.95430	great_grey_owl	bonnet	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000100.png	bighorn	0.68977	bighorn	maze	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000102.png	Rhodesian_ridgeback	4.56156	Rhodesian_ridgeback	muzzle	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000105.png	silky_terrier	2.59240	silky_terrier	wig	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000107.png	harvestman	5.42079	harvestman	muzzle	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000111.png	American_lobster	7.47740	American_lobster	restaurant	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000113.png	kelpie	10.56067	kelpie	tennis_ball	0.00000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000115.png	Ibizan_hound	4.43287	Ibizan_hound	pencil_box	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000124.png	rock_beauty	-2.07864	electric_ray	mask	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000125.png	grasshopper	4.47345	grasshopper	window_screen	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000127.png	impala	11.15315	impala	plow	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000128.png	bald_eagle	3.06299	bulbul	worm_fence	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000130.png	Persian_cat	11.17786	Persian_cat	jigsaw_puzzle	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000133.png	hyena	15.12467	hyena	spatula	0.00000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000134.png	Doberman	6.67285	Rottweiler	croquet_ball	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000136.png	warthog	-0.56353	wild_boar	wool	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000138.png	sea_urchin	7.36403	sea_urchin	umbrella	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000141.png	bloodhound	-3.10064	Labrador_retriever	harp	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000142.png	sea_urchin	3.09254	sea_urchin	coral_reef	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000147.png	toy_poodle	8.57125	standard_poodle	muzzle	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000153.png	common_iguana	13.25303	common_iguana	quill	0.00000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000154.png	sea_slug	14.36172	sea_slug	coral_reef	0.00000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000156.png	coyote	7.40991	dhole	book_jacket	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000157.png	red_fox	12.66033	red_fox	Windsor_tie	0.00000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000161.png	Irish_setter	7.65278	Gordon_setter	bath_towel	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000170.png	toy_terrier	1.72914	Italian_greyhound	muzzle	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000172.png	English_setter	9.32713	English_setter	quilt	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000174.png	Great_Pyrenees	8.91874	Great_Pyrenees	toyshop	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000176.png	miniature_schnauzer	3.61040	Scotch_terrier	muzzle	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000177.png	red-backed_sandpiper	4.41150	red-backed_sandpiper	window_screen	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000178.png	Eskimo_dog	7.26398	Eskimo_dog	dogsled	0.00000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000179.png	sorrel	0.20871	sorrel	mask	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000180.png	Shetland_sheepdog	6.12820	collie	oxcart	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000181.png	skunk	-3.81067	groom	hair_spray	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000186.png	snow_leopard	-4.08850	zebra	wool	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000188.png	coyote	8.43013	grey_fox	jigsaw_puzzle	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000189.png	platypus	1.54319	platypus	window_screen	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000191.png	American_Staffordshire_terrier	7.16088	bull_mastiff	chainlink_fence	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000195.png	Dungeness_crab	0.71799	rock_crab	harp	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000196.png	lionfish	2.74181	lionfish	pinwheel	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000198.png	bulbul	4.06716	bee_eater	bow	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000200.png	gyromitra	4.82107	gyromitra	mushroom	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000203.png	Bouvier_des_Flandres	2.42413	Bouvier_des_Flandres	stole	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000206.png	proboscis_monkey	4.57673	macaw	greenhouse	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000207.png	albatross	-0.31386	red-breasted_merganser	fur_coat	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000211.png	Siamese_cat	11.13933	Siamese_cat	quilt	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000217.png	bulbul	16.86151	bulbul	wooden_spoon	0.00000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000218.png	wolf_spider	8.96424	wolf_spider	spider_web	0.00000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000220.png	pug	5.10773	pug	velvet	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000224.png	Irish_setter	4.90420	Irish_setter	tennis_ball	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000225.png	European_fire_salamander	6.02343	European_fire_salamander	theater_curtain	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000227.png	Brittany_spaniel	4.67729	Brittany_spaniel	quilt	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000228.png	Ibizan_hound	2.24084	collie	dogsled	0.00000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000229.png	mud_turtle	-3.62501	bolete	umbrella	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000231.png	hermit_crab	-1.30975	triceratops	greenhouse	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000233.png	snow_leopard	16.08491	snow_leopard	harp	0.00000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000236.png	goldfish	1.54540	jellyfish	harp	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000237.png	English_foxhound	4.00133	Walker_hound	carousel	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000238.png	king_crab	-2.28671	king_crab	harp	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000242.png	gorilla	0.75950	Indian_elephant	cloak	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000245.png	hermit_crab	16.82627	hermit_crab	strainer	0.00000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000246.png	bighorn	14.17345	ram	oxcart	0.00000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000247.png	junco	7.57183	junco	hourglass	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000248.png	Staffordshire_bullterrier	3.73069	Staffordshire_bullterrier	muzzle	0.05000	resnet50	resnext50_32x4d
ILSVRC2012_val_00000255.png	scuba_diver	-3.14924	electric_ray	harp	0.05000	resnet50	resnext50_32x4d
