,time,batch_size,model
0,0.018705761432647704,1,resnet-34_cuda
1,0.013576972484588622,2,resnet-34_cuda
2,0.012523159980773926,3,resnet-34_cuda
3,0.011420555114746093,4,resnet-34_cuda
4,0.011153712272644042,6,resnet-34_cuda
5,0.010947914123535156,8,resnet-34_cuda
6,0.010125234127044677,10,resnet-34_cuda
7,0.011162538528442383,12,resnet-34_cuda
8,0.010960726737976075,14,resnet-34_cuda
9,0.009727034568786621,16,resnet-34_cuda
10,0.008341732025146485,20,resnet-34_cuda
11,0.00902859926223755,26,resnet-34_cuda
