img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	2.85411	sea_snake	vacuum	10.00000	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000003.png	Shetland_sheepdog	9.04850	Shetland_sheepdog	tennis_ball	9.99939	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000006.png	garter_snake	9.60844	garter_snake	nail	9.98662	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000007.png	porcupine	7.05593	porcupine	quill	9.99405	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000010.png	Angora	-7.68406	Airedale	piggy_bank	9.99898	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000011.png	brain_coral	4.83556	brain_coral	jackfruit	9.99723	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000012.png	cougar	10.66685	cougar	window_screen	9.97454	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000013.png	guenon	9.54481	guenon	jean	9.99022	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000016.png	grey_whale	15.73761	grey_whale	jean	9.99751	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000017.png	sea_anemone	3.39069	starfish	torch	9.99842	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000018.png	vulture	1.18346	vulture	paintbrush	9.97404	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000021.png	porcupine	8.83951	porcupine	cardoon	9.81563	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000022.png	Ibizan_hound	4.25792	llama	chain_saw	9.99215	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000025.png	vulture	9.36811	vulture	amphibian	9.99235	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000027.png	white_wolf	3.55099	white_wolf	quilt	9.98543	efficientnet-b0	resnext50_32x4d
ILSVRC2012_val_00000028.png	English_foxhound	5.16469	beagle	tennis_ball	9.99031	efficientnet-b0	resnext50_32x4d
