img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-0.66959	water_snake	maze	9.96800	resnet50	resnet18
ILSVRC2012_val_00000003.png	Shetland_sheepdog	3.37956	Shetland_sheepdog	feather_boa	9.97299	resnet50	resnet18
ILSVRC2012_val_00000006.png	garter_snake	2.64102	water_snake	maze	9.99118	resnet50	resnet18
ILSVRC2012_val_00000007.png	porcupine	1.13998	porcupine	hay	9.99418	resnet50	resnet18
ILSVRC2012_val_00000010.png	Angora	-7.46353	toy_poodle	wig	9.99782	resnet50	resnet18
ILSVRC2012_val_00000011.png	brain_coral	3.54761	brain_coral	coral_reef	9.99996	resnet50	resnet18
ILSVRC2012_val_00000012.png	cougar	10.35206	cougar	cellular_telephone	9.93108	resnet50	resnet18
ILSVRC2012_val_00000013.png	guenon	5.61610	guenon	breastplate	9.98965	resnet50	resnet18
ILSVRC2012_val_00000016.png	grey_whale	2.54725	grey_whale	submarine	9.99197	resnet50	resnet18
ILSVRC2012_val_00000017.png	sea_anemone	-2.69665	starfish	torch	9.94757	resnet50	resnet18
ILSVRC2012_val_00000018.png	vulture	-2.17401	kite	jigsaw_puzzle	9.99181	resnet50	resnet18
ILSVRC2012_val_00000021.png	porcupine	5.02465	porcupine	thatch	9.96484	resnet50	resnet18
ILSVRC2012_val_00000022.png	Ibizan_hound	-0.81301	coho	stretcher	9.95305	resnet50	resnet18
ILSVRC2012_val_00000025.png	vulture	2.76881	vulture	maze	9.87976	resnet50	resnet18
ILSVRC2012_val_00000027.png	white_wolf	6.23774	white_wolf	dogsled	9.99644	resnet50	resnet18
ILSVRC2012_val_00000028.png	English_foxhound	4.16377	beagle	tennis_ball	9.98532	resnet50	resnet18
