img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	0.14229	rock_python	maze	9.98849	resnext50_32x4d	efficientnet-b0
ILSVRC2012_val_00000003.png	Shetland_sheepdog	8.00602	collie	tennis_ball	9.97490	resnext50_32x4d	efficientnet-b0
ILSVRC2012_val_00000006.png	garter_snake	4.67945	water_snake	submarine	9.98863	resnext50_32x4d	efficientnet-b0
ILSVRC2012_val_00000007.png	porcupine	8.42815	porcupine	sock	9.97855	resnext50_32x4d	efficientnet-b0
ILSVRC2012_val_00000010.png	Angora	-3.88132	triceratops	teddy	9.98772	resnext50_32x4d	efficientnet-b0
ILSVRC2012_val_00000011.png	brain_coral	5.00859	brain_coral	coral_reef	9.99228	resnext50_32x4d	efficientnet-b0
ILSVRC2012_val_00000012.png	cougar	9.44572	cougar	Dutch_oven	9.95179	resnext50_32x4d	efficientnet-b0
ILSVRC2012_val_00000013.png	guenon	7.48674	guenon	half_track	9.99781	resnext50_32x4d	efficientnet-b0
ILSVRC2012_val_00000016.png	grey_whale	6.59644	grey_whale	megalith	9.96514	resnext50_32x4d	efficientnet-b0
ILSVRC2012_val_00000017.png	sea_anemone	-4.71733	sea_anemone	vault	9.98399	resnext50_32x4d	efficientnet-b0
ILSVRC2012_val_00000018.png	vulture	-1.98891	bald_eagle	jigsaw_puzzle	9.98677	resnext50_32x4d	efficientnet-b0
ILSVRC2012_val_00000021.png	porcupine	7.06859	porcupine	birdhouse	9.94995	resnext50_32x4d	efficientnet-b0
ILSVRC2012_val_00000022.png	Ibizan_hound	-0.28945	Ibizan_hound	jigsaw_puzzle	9.98677	resnext50_32x4d	efficientnet-b0
ILSVRC2012_val_00000025.png	vulture	1.33682	vulture	worm_fence	9.99303	resnext50_32x4d	efficientnet-b0
ILSVRC2012_val_00000027.png	white_wolf	8.65341	white_wolf	switch	9.96466	resnext50_32x4d	efficientnet-b0
ILSVRC2012_val_00000028.png	English_foxhound	5.58128	beagle	tennis_ball	9.95663	resnext50_32x4d	efficientnet-b0
