img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	-0.86179	lacewing	shopping_cart	19.95913	efficientnet-b0	resnet18
ILSVRC2012_val_00000003.png	Shetland_sheepdog	1.01196	macaque	mask	19.97399	efficientnet-b0	resnet18
ILSVRC2012_val_00000006.png	garter_snake	-1.76458	centipede	shopping_cart	19.94392	efficientnet-b0	resnet18
ILSVRC2012_val_00000007.png	porcupine	-5.63477	peacock	sock	19.91938	efficientnet-b0	resnet18
ILSVRC2012_val_00000010.png	Angora	-2.43562	brain_coral	teddy	19.99190	efficientnet-b0	resnet18
ILSVRC2012_val_00000011.png	brain_coral	0.92228	brain_coral	coral_reef	19.99354	efficientnet-b0	resnet18
ILSVRC2012_val_00000012.png	cougar	7.07722	cougar	jigsaw_puzzle	19.98704	efficientnet-b0	resnet18
ILSVRC2012_val_00000013.png	guenon	3.87090	guenon	mask	19.96908	efficientnet-b0	resnet18
ILSVRC2012_val_00000016.png	grey_whale	-3.10177	grey_whale	volcano	19.99186	efficientnet-b0	resnet18
ILSVRC2012_val_00000017.png	sea_anemone	-2.04950	goldfish	stage	19.95318	efficientnet-b0	resnet18
ILSVRC2012_val_00000018.png	vulture	-0.08852	starfish	stole	19.97611	efficientnet-b0	resnet18
ILSVRC2012_val_00000021.png	porcupine	1.05381	porcupine	chainlink_fence	19.99298	efficientnet-b0	resnet18
ILSVRC2012_val_00000022.png	Ibizan_hound	0.35067	Kerry_blue_terrier	chain_saw	19.96462	efficientnet-b0	resnet18
ILSVRC2012_val_00000025.png	vulture	-1.46130	vulture	harvester	19.24095	efficientnet-b0	resnet18
ILSVRC2012_val_00000027.png	white_wolf	4.38238	kuvasz	jigsaw_puzzle	19.97339	efficientnet-b0	resnet18
ILSVRC2012_val_00000028.png	English_foxhound	3.44163	beagle	tennis_ball	19.21568	efficientnet-b0	resnet18
