img_fn	human_readable_label	target_loss	top_organism_label	top_object_label	dist	surrogate	target
ILSVRC2012_val_00000001.png	sea_snake	7.24578	water_snake	sandbar	2.99702	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000003.png	Shetland_sheepdog	9.43660	Shetland_sheepdog	crutch	2.99508	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000006.png	garter_snake	11.49901	sea_snake	worm_fence	2.99815	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000007.png	porcupine	8.71703	porcupine	quill	2.99607	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000010.png	Angora	-2.68312	toy_poodle	wig	2.99834	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000011.png	brain_coral	4.38515	brain_coral	coral_reef	2.99971	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000012.png	cougar	11.07419	cougar	tennis_ball	2.99812	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000013.png	guenon	10.95958	guenon	frying_pan	2.99634	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000016.png	grey_whale	24.26115	grey_whale	submarine	2.99657	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000017.png	sea_anemone	3.83807	starfish	torch	2.99677	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000018.png	vulture	7.51951	vulture	feather_boa	2.98468	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000021.png	porcupine	11.43401	porcupine	hard_disc	2.99755	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000022.png	Ibizan_hound	5.63519	whippet	muzzle	2.99874	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000025.png	vulture	16.38000	vulture	plow	2.99723	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000027.png	white_wolf	14.57278	white_wolf	dogsled	2.99728	efficientnet-b0	wide_resnet50_2
ILSVRC2012_val_00000028.png	English_foxhound	7.50068	Walker_hound	tennis_ball	2.99874	efficientnet-b0	wide_resnet50_2
